  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				PS1_g		       PS1_r       			PS1_i      			 PS1_z       			PS1_y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79179.909311785785        4.5700000000000003E-003   2.4983266941868012E-004   9.0728358999999994        5.3381000000000001E-003   10.789633069131721        10.601913319772322        11.154257247221750        10.060442065966466        10.526204663372319        11.083421265359391        11.463209461922339        11.838093229084105        10.594040645234678        11.088421265359390        11.489849671118790        11.786045443449417        12.003685652981147        9.2774420668605337        10.534125123544648        10.847421265359390        11.001421265359390        11.197801885484104        11.636924749577439        11.773405402340551        11.886601174671178        8.4884469771875359        9.1781826177210775     
   77990.014305001474       -2.2408000000000001E-002   2.6481451930604293E-004   9.0735075999999992        5.3340000000000002E-003   10.804077085616985        10.616762880515410        11.168154891959407        10.076478834916337        10.541056910915408        11.097556889098406        11.477036692915107        11.851752894820407        10.608654913776405        11.102556889098409        11.503577063799987        11.799634695440830        12.017175066660990        9.2934788358104043        10.549283077033984        10.861556889098409        11.015556889098406        11.211458864420408        11.650161011100778        11.786489271762569        11.899546903403412        8.5078127653564017        9.1957149876239832     
   76894.096788171068       -4.7652000000000000E-002   2.8087546973705458E-004   9.0741683999999996        5.3299999999999997E-003   10.817473785022420        10.630531858409730        11.181047135840268        10.091341087127491        10.554828532009731        11.110668316482633        11.489862848278124        11.864425955197900        10.622207351367363        11.115668316482635        11.516313569495322        11.812241667300478        12.029692388852956        9.3083410880215585        10.563337326949517        10.874668316482632        11.028668316482632        11.224129281597898        11.662457198057703        11.798634315465646        11.911562413270802        8.5257409434146769        9.2119557861731725     
   75883.263455416512       -7.1289000000000005E-002   2.9812359079514297E-004   9.0748175999999994        5.3260000000000000E-003   10.829959174011670        10.643359465151025        11.193066075915358        10.105176930401541        10.567658735551024        11.122889423224276        11.501819672772157        11.876242728606442        10.634835388242106        11.127889423224275        11.528189861684918        11.823996325127965        12.041366514376005        9.3221769312956084        10.576429215938422        10.886889423224275        11.040889423224275        11.235943458206442        11.673938619125121        11.809966223236646        11.922772686679689        8.5424045232204406        9.2270641482275870     
   74951.098094841640       -9.3399999999999997E-002   3.1666701072813905E-004   9.0754566000000008        5.3220999999999997E-003   10.841603775954788        10.655314681913016        11.204272608411692        10.118068584927940        10.579623336716850        11.134282388792723        11.512961001965937        11.887259876053463        10.646613556335819        11.139282388792722        11.539269656434495        11.834961001630660        12.052259876053466        9.3350656338448097        10.588633117097881        10.898289217196560        11.052272608411691        11.246961001630659        11.684644043032048        11.820542141691401        11.933243267268598        8.5579232455185128        9.2411438768930623     
   73878.488243012704      -0.11906799999999999        3.3672174942373092E-004   9.0760874000000005        5.3182000000000004E-003   10.855647083976670        10.669635303058996        11.217669827322478        10.133608500342383        10.594095688679463        11.147894129673876        11.526141175706357        11.900377258640155        10.660871386328068        11.152894129673875        11.552601560991551        11.848141175371079        12.065377258640154        9.3505402349055267        10.603319991030862        10.912050165694346        11.065669827322477        11.260141175371079        11.697109888772268        11.833233003537359        11.945996920268286        8.5768929892588126        9.2583346537167053     
   72872.723352191038      -0.14350299999999999        3.5850394665621363E-004   9.0767083999999993        5.3144000000000004E-003   10.868875154587119        10.683124320307090        11.230291954998432        10.148239673799981        10.607726065246244        11.160717410327994        11.538559666404147        11.912735955678464        10.674300609916681        11.165717410327996        11.565161411008024        11.860559666068870        12.077735955678463        9.3651091307036403        10.617151520575803        10.925012321667150        11.078291954998431        11.272559666068869        11.708851361216041        11.845191878619339        11.958015589009747        8.5947401263670393        9.2745127733401347     
   71944.566482634444      -0.16638200000000000        3.8222987988760336E-004   9.0773195999999992        5.3106999999999998E-003   10.881163050287594        10.695653854508979        11.242020511777174        10.161822099517838        10.620385223694541        11.172631598480649        11.550100147008980        11.924220429155792        10.686774136991065        11.177631598480648        11.576831515859265        11.872100146673706        12.089220429155791        9.3786331044939963        10.629996310398017        10.937053689266211        11.090020511777176        11.284100146673705        11.719760598226937        11.856307534148844        11.969187251666757        8.6112902092674766        9.2895217981217790     
   71087.133140227044      -0.18781100000000001        4.0822385035471599E-004   9.0779204999999994        5.3070000000000001E-003   10.892631456726438        10.707346262132109        11.252972054610577        10.174486105436049        10.632196603470348        11.183754627982530        11.560877799573898        11.934945567204903        10.698414030098395        11.188754627982529        11.587728140576857        11.882877799238621        12.099945567204902        9.3912421922964029        10.641979176842302        10.948293287320766        11.100972054610576        11.294877799238620        11.729949051596925        11.866692102460991        11.979624334494712        8.6266955982813940        9.3035027792720406     
   70159.583146031306      -0.21122199999999999        4.3670252055451894E-004   9.0785145000000007        5.3033999999999998E-003   10.904873225792544        10.719831285490605        11.264654917680163        10.188021692494031        10.644809392534134        11.195623001050960        11.572372776644647        11.946382799982105        10.710841309163337        11.200623001050955        11.599350883352896        11.894372776309369        12.111382799982104        9.4047176590608341        10.654777475904927        10.960287050094484        11.112654917680166        11.306372776309368        11.740798940320458        11.877760691240516        11.990750667567783        8.6431969693207993        9.3184623260271859     
