  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				PS1_g		       PS1_r       			PS1_i      			 PS1_z       			PS1_y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79897.464969581226       0.25554100000000002        1.1424289026115276E-004   8.7890218000000004        6.9991000000000003E-003   9.9767036092060710        9.7807241162121574        10.355496254490864        9.1989141639083716        9.7058904569152009        10.276516761496945        10.668496254826140        11.051486000987824        9.7847343697151974        10.282681501759408        10.695496254490864        10.998484400547243        11.220477347925362        8.4169125643618639        9.7017462236588212        10.050693355703030        10.197516761496948        10.405496254490865        10.870933755581740        11.016528944313192        11.139969646285225        7.6749900230774539        8.3293887948105318     
   78581.262141513405       0.22585800000000000        1.2770498253061646E-004   8.7898519000000004        6.9924000000000002E-003   9.9931944450456740        9.7974781926173691        10.371325668516427        9.2161084522002561        9.7227794740032181        10.292609416088126        10.684325668851706        11.067183794730582        9.8016200664032169        10.298888081714271        10.711325668516430        11.014161178970873        11.236064536704440        8.4340858373346208        9.7187845559487727        10.067052571259822        10.213609416088126        10.421325668516427        10.886378269958882        11.031612894761043        11.154710727722907        7.6971582259968692        8.3486746331081996     
   77309.702136905355       0.19670499999999999        1.4181424664283781E-004   8.7906633000000003        6.9858999999999997E-003   10.009133203872366        9.8136712634449843        10.386625401740819        9.2327285222211195        9.7391029464312915        10.308163461313438        10.699625402076094        11.082356371954507        9.8179402932312954        10.314551385744107        10.726625401740819        11.029312613398869        11.251131100723839        8.4506847645595506        9.7352530815732443        10.082864174086058        10.229163461313437        10.436625401740816        10.901306271981891        11.046193553978600        11.168961941330949        7.7185825900393112        8.3673145475405022     
   75935.000475176697       0.16474700000000000        1.5667853840318458E-004   8.7914534000000000        6.9794999999999996E-003   10.026175666749797        9.8309886666547612        10.402977353387385        9.2505087856591786        9.7565609802072437        10.324790353292350        10.715977353722661        11.098570853434900        9.8353951666072419        10.331295263624312        10.742977353387385        11.045503450214383        11.267231756702941        8.4684413833327312        9.7528690697802460        10.099769166797316        10.245790353292350        10.452977353387382        10.917255294329937        11.061766452093011        11.184179199476606        7.7415567543270569        8.3872770097724469     
   74686.481466957877       0.13518700000000000        1.7229802926115666E-004   8.7922127999999997        6.9734000000000003E-003   10.041739505057325        9.8468022087639326        10.417913894590804        9.2667445534258803        9.7725024118172357        10.339976598297412        10.730913894926079        11.113382542737497        9.8513335606172383        10.346587081952663        10.757913894590803        11.060292823339445        11.281940910282248        8.4846548349218978        9.7689546318685956        10.115208153204023        10.260976598297411        10.467913894590801        10.931826392630889        11.075997461269033        11.198089398105225        7.7625085029474583        8.4054941669747656     
   73551.409545520888       0.10783800000000000        1.8878063331945327E-004   8.7929598000000002        6.9674000000000003E-003   10.056025808825661        9.8613155269165542        10.431629674398417        9.2816435664837922        9.7871322251620025        10.353919392489315        10.744629674733696        11.126984815352971        9.8659603859620031        10.360625278672282        10.771629674398421        11.073874003290490        11.295450768370005        8.4995327553153803        9.7837160570699329        10.129380949780211        10.274919392489315        10.481629674398421        10.945210614862075        11.089074206588213        11.210876771176837        7.7816937206424033        8.4221941784425471     
   72277.313208778578        7.6745999999999995E-002   2.0601882440564624E-004   8.7936960000000006        6.9614999999999998E-003   10.071809205395976        9.8773537427542202        10.446773078000362        9.2981152923151349        9.8033007954333407        10.369317615358607        10.759773078335638        11.142000809321242        9.8821260114333391        10.376129687828918        10.786773078000362        11.088865829112432        11.310363520850931        8.5159803130003944        9.8000332603212748        10.145036936716853        10.290317615358607        10.496773078000363        10.959980623962995        11.103497934134442        11.224975440514701        7.8029769548070398        8.4406861798663506     
   71089.424755586224        4.7231000000000002E-002   2.2422830811174777E-004   8.7944210999999992        6.9557000000000004E-003   10.086614375593449        9.8923964906423265        10.460981403571239        9.3135640007647744        9.8184652325667692        10.383763518620121        10.773981403906518        11.156090346046796        9.8972875481667728        10.390673933522969        10.800981403571239        11.102932019025204        11.324357615543953        8.5314056746372486        9.8153369327128068        10.159723318069005        10.304763518620121        10.510981403571240        10.973841284197917        11.117037176246185        11.238213710916057        7.8229104917660202        8.4580179638283113     
   70007.569464653017        1.9879999999999998E-002   2.4351711848629519E-004   8.7951349000000008        6.9499999999999996E-003   10.100223690710216        9.9062221768172876        10.474046935842544        9.3277612505661978        9.8324019594708219        10.397045421949613        10.787046936177820        11.169047692789007        9.9112214198708202        10.404044801661961        10.814046935842541        11.115867289847820        11.337228852676660        8.5455808485190801        9.8294010658655431        10.173224447656679        10.318045421949613        10.524046935842541        10.986590825481940        11.129495657662524        11.250400353184297        7.8411910053533944        8.4739298165756338     
   68912.023100252671       -8.2249999999999997E-003   2.6377779822692562E-004   8.7958379999999998        6.9443999999999999E-003   10.116384906876595        9.9227112999465188        10.489311225082742        9.3451117882981958        9.8490723507783624        10.412766364116694        10.802222376002097        11.183876034322845        9.9275825539824911        10.419657566426720        10.829311225082746        11.130712630596898        11.351930640358821        8.5629483854663153        9.8463098944323644        10.188929767842643        10.333657566426721        10.538984832012821        11.000951003014842        11.143758965324869        11.264744626466738        7.8618456121655580        8.4926895628878807     
