  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79536.229693452595      -0.19789799999999999        4.0614742717590959E-004   9.3037869000000004        4.1904000000000004E-003   11.314279940284930        11.126587841946236        11.679196869887317        10.583816507945034        11.051587841946237        11.608094432162307        11.987713732588649        12.362888968226009        11.119495087884925        11.613289623948628        12.013981722287316        12.310620978192059        12.527888968226009        9.8008165088391017        11.058773350068854        11.371879284562308        11.526094432162306        11.721908924039692        12.160305801898097        12.297991405951016        12.411845809455759        9.0097047263111172        9.7002506396682691     
   78871.663368288107      -0.21293100000000001        4.3850672771995392E-004   9.3042438999999995        4.1882000000000004E-003   11.322602261111477        11.135044904037819        11.687093270428917        10.592907299871928        11.060044904037817        11.616150926458793        11.995531580844919        12.370650627502574        11.127819236711474        11.621318937755259        12.021876294828914        12.318305913183298        12.535650627502573        9.8099073007659996        11.067496238690502        11.379933950858792        11.534150926458793        11.729699591806110        12.168661881335893        12.305592971472699        12.419239565427077        9.0206816564383239        9.7102699964503927     
   78225.077124017946      -0.22769400000000001        4.7594229980009575E-004   9.3047087000000008        4.1859999999999996E-003   11.330731075787268        11.143304895162467        11.694807273883166        10.601783299365861        11.068304895162465        11.624021106636876        12.003169986000275        12.378233454507965        11.135949910587266        11.629162258458360        12.029588439083165        12.325815001089802        12.543233454507964        9.8187833002599323        11.076014864312858        11.387802271836877        11.542021106636875        11.737311137486484        12.176819581109532        12.313019621754252        12.426465018560892        9.0313930976911951        9.7200493574863049     
   77596.833619499201      -0.24217600000000000        5.1975205212229981E-004   9.3051820999999997        4.1837000000000003E-003   11.338714378924026        11.151415740600127        11.702387118081704        10.610492088272538        11.076415740600128        11.631753112371827        12.010677207168923        12.385685756405609        11.143935107324028        11.636867751357807        12.037166389681710        12.333196573557546        12.550685756405608        9.8274920891666060        11.084377007152328        11.395532383971828        11.549753112371826        11.744791845819629        12.184826930164066        12.320319762115483        12.433570674391328        9.0418855876460302        9.7296357936993108     
   76988.347870941914      -0.25633899999999998        5.7177532378054248E-004   9.3056678000000002        4.1814000000000000E-003   11.346485080036119        11.159310081661930        11.709766638319971        10.618964940058207        11.084310081661931        11.639280419184496        12.017987209106861        12.392941636694163        11.151707751236119        11.644368968745782        12.044543967119973        12.340384878345775        12.557941636694162        9.8359649409522785        11.092514742513552        11.403057747984496        11.557280419184496        11.752075758332873        12.192616767778047        12.327427855829638        12.440491438255437        9.0520863461523522        9.7389585827329572     
   76405.566483072340      -0.27003199999999999        6.3353034829458468E-004   9.3061623999999998        4.1790000000000004E-003   11.354030882744691        11.166974419048078        11.716937374624173        10.627182704460573        11.091974419048075        11.646593109337918        12.025092184276787        12.399993838320789        11.159255532344691        11.651656261327556        12.051712725024174        12.347373297238125        12.564993838320788        9.8441827053546440        11.100412192454847        11.410368459737921        11.564593109337917        11.759155335931148        12.200176675268576        12.334338103607042        12.447223325420989        9.0619593176124020        9.7479902626783428     
   75901.612078893944      -0.28198499999999999        6.9951736659984930E-004   9.3066200000000006        4.1767999999999996E-003   11.360621712534650        11.173667870118871        11.723203519202711        10.634354136566634        11.098667870118872        11.652982357366211        12.031302163112317        12.406157361618492        11.165848192534652        11.658023196786933        12.057977039202713        12.353482485192819        12.571157361618491        9.8513541374607012        11.107307225287313        11.416755877366208        11.570982357366210        11.765343002197765        12.206775943068896        12.340378523454996        12.453110449445104        9.0705623042190755        9.7558654005502508     
   75464.378554127252      -0.29244799999999999        7.6995673478353407E-004   9.3070442000000000        4.1746999999999999E-003   11.366440202909196        11.179575503998372        11.728740022124168        10.640675963032667        11.104575503998372        11.658625954330848        12.036790514005279        12.411604721034994        11.171668379709196        11.663647146413343        12.063511845324168        12.358883389380832        12.576604721034993        9.8576759639267379        11.113389752576719        11.422397777530851        11.576625954330847        11.770811705752497        12.212598573747496        12.345718788828311        12.458318509684975        9.0781263350926871        9.7627976571509585     
   75083.066237156338      -0.30164200000000002        8.4474512203800605E-004   9.3074411999999995        4.1727999999999999E-003   11.371550936299677        11.184764087852244        11.733604593181443        10.646225308260494        11.109764087852245        11.663584162794535        12.041613572485204        12.416391441628875        11.176780701099673        11.668587979934010        12.068374828381444        12.363630185397358        12.581391441628874        9.8632253091545614        11.118730861357381        11.427354397994538        11.581584162794538        11.775617389289401        12.217710128520601        12.350411872015780        12.462896993831691        9.0847591417510500        9.7688792516225433     
   74748.417045955372      -0.30977700000000002        9.2421188539387343E-004   9.3078138999999993        4.1710000000000002E-003   11.376307114817761        11.189627367605985        11.738156165045334        10.651416438465956        11.114627367605982        11.668206481636142        12.046105848789802        12.420824276263717        11.181588687008569        11.673206481636141        12.072874592854527        12.368094212461129        12.585824276263716        9.8683777587626142        11.123677684196791        11.431975226036142        11.586156165045336        11.780094212461128        12.221896042284426        12.354723643082101        12.467236470872910        9.0909902492129699        9.7745490358890859     
   74451.765365795800      -0.31703799999999999        1.0082544795300520E-003   9.3081663999999993        4.1692999999999999E-003   11.380637090518450        11.194063538904112        11.742308149737928        10.656146441444244        11.119063538904109        11.672417796664769        12.050198503146364        12.424856190284247        11.185979403045289        11.677417796664768        12.076965837211086        12.372172991743065        12.589856190284246        9.8730623064794987        11.128173185830951        11.436185131064770        11.590308149737927        11.784172991743064        12.225554444213694        12.358636896430566        12.471211874557406        9.0966681275677690        9.7797068162942207     
   74187.032578638944      -0.32356200000000002        1.0973116722221049E-003   9.3085021999999995        4.1676999999999999E-003   11.384544894694340        11.198066042156743        11.746057114241523        10.660410991084031        11.123066042156744        11.676219707725796        12.053894521092527        12.428497918472981        11.189941496978609        11.681219707725795        12.080660511957252        12.375856472451108        12.593497918472981        9.8772864467999746        11.132228635641013        11.439985698925792        11.594057114241526        11.787856472451107        12.228863495447943        12.362172731504433        12.474803342588707        9.1017784789264589        9.7843531858741493     
   73948.266892788146      -0.32948300000000003        1.1913902286289045E-003   9.3088239000000002        4.1662000000000001E-003   11.388099534912046        11.201706030120432        11.749468495047720        10.664287171133575        11.126706030120433        11.679678841669164        12.057258148761557        12.431812506204837        11.193545177133489        11.684678841669163        12.084022852826278        12.379208654791777        12.596812506204836        9.8811263190407015        11.135916376741873        11.443443546069163        11.597468495047719        11.791208654791776        12.231878613109297        12.365391812961951        12.478072750783392        9.1064174223707202        9.7885737964122388     
   73730.469600656957      -0.33491599999999999        1.2907139795643161E-003   9.3091337999999997        4.1647000000000003E-003   11.391411102888494        11.205095392522850        11.752649384648890        10.667891851628124        11.130095392522851        11.682903290728760        12.060395478904297        12.434905037289152        11.196901544168362        11.687903290728755        12.087158943369023        12.382335420843638        12.599905037289151        9.8846980041677064        11.139349298602717        11.446666755528760        11.600649384648889        11.794335420843638        12.234698504053267        12.368397225129414        12.481124201609283        9.1107178146000898        9.7924927176066561     
   73529.226943580506      -0.33996399999999999        1.3956159978267522E-003   9.3094342000000001        4.1633000000000000E-003   11.394478663779527        11.208234778426103        11.755596199945675        10.671230076988454        11.133234778426104        11.685890354556960        12.063302045669669        12.437770153923108        11.200010555190811        11.690890354556959        12.090064308534391        12.385232113958399        12.602770153923107        9.8880058546472291        11.142528933037386        11.449652617756957        11.603596199945674        11.797232113958398        12.237312210440773        12.371181844700541        12.483951472911823        9.1146988148630648        9.7961213547375010     
   73342.042424854182      -0.34468700000000002        1.5062135836200526E-003   9.3097276999999998        4.1618999999999996E-003   11.397383325432900        11.211206198468831        11.758388550887817        10.674386333549910        11.136206198468836        11.688720142402845        12.066056959708062        12.440486457057757        11.202953827747931        11.693720142402844        12.092818048572786        12.387977738578657        12.605486457057760        9.8911339637230800        11.145537789983861        11.452481231602848        11.606388550887816        11.799977738578656        12.239795115690557        12.373823274027702        12.486632687142729        9.1184528878844464        9.7995477850433108     
   73164.431094907253      -0.34918399999999999        1.6228418133275681E-003   9.3100137000000007        4.1605000000000001E-003   11.400177107308865        11.214063262245626        11.761075765965815        10.677418720656652        11.139063262245630        11.691442879746832        12.068708652520071        12.443101483603778        11.205784275889885        11.696442879746831        12.095468597384796        12.390620524759514        12.608101483603777        9.8941397351949814        11.148430376026647        11.455202824946833        11.609075765965814        11.802620524759513        12.242189209157866        12.376367256041741        12.489214479422758        9.1220524872470161        9.8028365906431301     
   72994.644869825468      -0.35350199999999998        1.7458370645703667E-003   9.3102944999999995        4.1590999999999998E-003   11.402880310806221        11.216826901350377        11.763677097728117        10.680349899586481        11.141826901350377        11.694078168754157        12.071276027037360        12.445633777676051        11.208522559832257        11.699078168754152        12.098034848702081        12.393179297194166        12.610633777676050        9.8970455589624358        11.151227972376407        11.457836990754156        11.611677097728116        11.805179297194169        12.244510799531106        12.378831635623978        12.491715062650012        9.1255258588971095        9.8060129491707109     
   72830.283416610444      -0.35769200000000001        1.8755371200006720E-003   9.3105712999999994        4.1577999999999997E-003   11.405468565089468        11.219473598879556        11.766166735139436        10.683158744168875        11.144473598879554        11.696600678456111        12.073732792158033        12.448056563306078        11.211144793606145        11.701600678456114        12.100490506622759        12.395627653779488        12.613056563306078        9.8998299397895373        11.153907542196233        11.460358393256111        11.614166735139438        11.807627653779488        12.246730124718816        12.381188676672725        12.494107190389403        9.1288595529297929        9.8090592011229596     
   72669.805866445284      -0.36179800000000001        2.0121725397785895E-003   9.3108450999999999        4.1564999999999996E-003   11.408011947779670        11.222073981117035        11.768613831299540        10.685917413556517        11.147073981117032        11.699079870126248        12.076147792808101        12.450438373246115        11.213721367006379        11.704079870126247        12.102904412072824        12.398034367756765        12.615438373246114        9.9025648003399382        11.156540019943741        11.462836489726250        11.616613831299539        11.810034367756764        12.248913797560910        12.383506295592696        12.496459095219404        9.1321306552779618        9.8120497305536247     
   72511.518499891929      -0.36585899999999999        2.1561928303911204E-003   9.3111169000000000        4.1552000000000004E-003   11.410530116355112        11.224648305935162        11.771037027455051        10.688647851341202        11.149648305935166        11.701534723755074        12.078539331490305        12.452797167255007        11.216272280255136        11.706534723755070        12.105294863555031        12.400417660535034        12.617797167255006        9.9052718265552464        11.159146002235182        11.465290256155072        11.619037027455050        11.812417660535033        12.251077688614796        12.385801774654965        12.498788406154986        9.1353665254356180        9.8150089293554181     
   72354.242314644158      -0.36990400000000001        2.3081584574488829E-003   9.3113876999999992        4.1539000000000003E-003   11.413036757575494        11.227210677866385        11.773449302964281        10.691365333057675        11.152210677866389        11.703978454501350        12.080920151762488        12.455145449090139        11.218811459912562        11.708978454501352        12.107674600627210        12.402790217843961        12.620145449090138        9.9079661159979224        11.161739829403455        11.467732903701350        11.621449302964283        11.814790217843960        12.253232849859561        12.388087146015994        12.501107399153067        9.1385862077448827        9.8179537774944912     
   72195.312400864786      -0.37399199999999999        2.4683055055201349E-003   9.3116567000000003        4.1526000000000002E-003   11.415562776367970        11.229792935982111        11.775879963808489        10.694104369087178        11.154792935982112        11.706440901328317        12.083319026623940        12.457511461968839        11.221370340687798        11.711440901328320        12.110072399488661        12.405180684063151        12.622511461968838        9.9106817746869353        11.164353873501938        11.470194274528318        11.623879963808488        11.817180684063150        12.255404312014338        12.390389586929182        12.503443778049007        9.1418327434984796        9.8209226480455492     
   72035.238764162583      -0.37811699999999998        2.6371989974786629E-003   9.3119253000000004        4.1513000000000001E-003   11.418102271080670        11.232389001791841        11.778323414339170        10.696858359733607        11.157389001791842        11.708916366586337        12.085730462427279        12.459889808644835        11.223942924527840        11.713916366586336        12.112482760892000        12.407583587108839        12.624889808644834        9.9134122833636766        11.166981954039009        11.472668665386337        11.626323414339168        11.819583587108838        12.257587282132825        12.392703904150501        12.505792258797669        9.1450978953823565        9.8239082001410161     
   71872.541118298876      -0.38231199999999999        2.8155160981361859E-003   9.3121939999999999        4.1501000000000003E-003   11.420620094261302        11.234964246471833        11.780743618932284        10.699594152459465        11.159964246471834        11.711369110708624        12.088118127491221        12.462243859379605        11.226494362037641        11.716369110708623        12.114869351155942        12.409962519813792        12.627243859379604        9.9161242689193436        11.169589738248170        11.475120334708620        11.628743618932283        11.821962519813791        12.259743351906089        12.394992875826922        12.508115919603263        9.1483532457749774        9.8268794271300663     
   71706.578415780299      -0.38659600000000000        3.0035004766892828E-003   9.3124632999999992        4.1488000000000002E-003   11.423228318910567        11.237630966359905        11.783252265960034        10.702424680650054        11.162630966359902        11.713910950276880        12.090593581978471        12.464685044126348        11.229136856427413        11.718910950276882        12.117343728443192        12.412429007258840        12.629685044126351        9.9189305716116323        11.172289650676746        11.477661097076879        11.631252265960036        11.824429007258839        12.261983192266424        12.397367675492660        12.510526066209504        9.1517137774136259        9.8299501929463844     
   71536.716109957313      -0.39098800000000000        3.2020543575150954E-003   9.3127335000000002        4.1475000000000001E-003   11.425882001342503        11.240344437762589        11.785804031008476        10.705305852758562        11.165344437762590        11.716496687786490        12.093111374565746        12.467167783452462        11.231825592120510        11.721496687786486        12.119860440230470        12.414937563094538        12.632167783452461        9.9217870080105559        11.175037094540597        11.480245753786486        11.633804031008475        11.826937563094537        12.264260480315857        12.399782469896445        12.512976994674455        9.1551374281007671        9.8330773282346247     
   71362.490795757811      -0.39549699999999999        3.4116470254822390E-003   9.3130056999999997        4.1462000000000001E-003   11.428586528409621        11.243110207840385        11.788404022887079        10.708243670550559        11.168110207840385        11.719131524727928        12.095676521381506        12.469696996405382        11.234566053050472        11.724131524727927        12.122424498246229        12.417493173995293        12.634696996405381        9.9246995166547158        11.177837709681231        11.482879501927929        11.636404022887078        11.829493173995292        12.266579598486079        12.402241992723685        12.515473540164532        9.1586316780981996        9.8362675085815034     
