  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79774.850685902988      -0.20613500000000001        3.0340175294122675E-004   9.3178710000000002        4.1260999999999997E-003   11.090052778872458        10.895097808735279        11.466380833727644        10.316465464010488        10.821103921178921        11.388719862521871        11.779646205619279        12.161792835864819        10.898097808735280        11.395713750078233        11.806374721284005        12.108080722352593        12.330058207421182        9.5342000933481970        10.817397920110327        11.163470893453280        11.309713750078235        11.516352206352590        11.982492724489774        12.134204838002002        12.264002887514231        8.7864779529230788        9.4462991382948829     
   78777.827525831992      -0.22843700000000000        3.2581156129040778E-004   9.3183252999999997        4.1238999999999998E-003   11.101827314314338        10.907071748809173        11.477580810550219        10.328867320225154        10.833105150929555        11.400220763492467        11.790820709965114        12.172789773655385        10.910071748809173        11.407187361372092        11.817547408429842        12.119151889982422        12.341029672735004        9.5466274220396024        10.829500669376973        11.175069679539888        11.321187361372093        11.527425191182420        11.993360853087591        12.144998736760552        12.274729825233518        8.8025360535532648        9.4603650098049279     
   77801.326194863403      -0.25051400000000001        3.5124117361689855E-004   9.3187320000000007        4.1219999999999998E-003   11.113227643199805        10.918667377960828        11.488419030615914        10.340882222288007        10.844727825660021        11.411353560757453        11.801633511251998        12.183429439854882        10.921667377960828        11.418293113058260        11.828358582916723        12.129863787536207        12.351643920155693        9.5586677428812674        10.841222621040535        11.186298500137964        11.332293113058261        11.538138715536205        12.003874196775181        12.155439849093858        12.285105213412534        8.8181320845618902        9.4740096649516179     
   76865.242205616814      -0.27199800000000002        3.8012286427195364E-004   9.3191878999999993        4.1197999999999999E-003   11.124352178131330        10.929979129690205        11.499004575178221        10.352596538437412        10.856065884613729        11.422221754116537        11.812194572189975        12.193824120419345        10.932979129690205        11.429134999193016        11.838917820254702        12.140327592875261        12.362014117095823        9.5704065426550020        10.852656111993165        11.197258478295977        11.343134999193017        11.548604344475260        12.014147138116387        12.165643665660470        12.295247199604551        8.8332781334471786        9.4872853694584141     
   75951.088084710602      -0.29319099999999998        4.1375167845853866E-004   9.3195984999999997        4.1178999999999999E-003   11.135087259384122        10.940897041767180        11.509213843513322        10.363907718917599        10.867009761045551        11.432706911087909        11.822379518570223        12.203847273130265        10.943897041767180        11.439594191809533        11.849101124234949        12.150417839043417        12.372012947851886        9.5817420450900457        10.863693046237081        11.207833408279438        11.353594191809535        11.558696233043417        12.024051268660362        12.175480702747208        12.305023712834050        8.8479407926198661        9.5001213627892866     
   75077.534116199982      -0.31375100000000000        4.5277694494288311E-004   9.3200622000000006        4.1156999999999999E-003   11.145544532980930        10.951529026157688        11.519168507366347        10.374916211932836        10.877666977673387        11.442925495931485        11.832310804985925        12.213623516589587        10.954529026157688        11.449787544415789        11.859030555850650        12.160258060462271        12.381765813873889        9.5927739155426028        10.874439473061765        11.218137493719867        11.363787544415791        11.568538309262268        12.033713069685509        12.185078525812829        12.314564977140146        8.8621506386812694        9.5125859557136696     
   74244.621918522302      -0.33354699999999998        4.9817243865473413E-004   9.3204758000000005        4.1136999999999996E-003   11.155465617988432        10.961616693604730        11.528610830689386        10.385362993093088        10.887778939554563        11.452619347313826        11.841730488274822        12.222895948673090        10.964616693604730        11.459457101363986        11.868448584739545        12.169591143731397        12.391015605923249        9.6032433367369929        10.884636380562712        11.227912981921973        11.373457101363988        11.577873046931400        12.042876261715103        12.194181066656794        12.323613484398484        8.8756499373387872        9.5244210843758292     
   73449.357306930178      -0.35272799999999999        5.5263930808990835E-004   9.3209497999999993        4.1114999999999997E-003   11.165087397884371        10.971397526422983        11.537775320584110        10.395487488521720        10.897583433138564        11.462024312592028        11.850873213403805        12.231897593645492        10.974397526422983        11.468838405876447        11.877589413868527        12.178650550399219        12.399995486129914        9.6133895969313699        10.894522296607867        11.237395577661335        11.382838405876448        11.586934349599222        12.051772823460610        12.203019866706882        12.332402106753150        8.8886875630645719        9.5358700768784317     
   72711.817436881800      -0.37067699999999998        6.1596928277498362E-004   9.3213688000000001        4.1095000000000003E-003   11.173990928530422        10.980448565043048        11.546255128130035        10.404857371911707        10.906656624580528        11.470727058098973        11.859332544127827        12.240226541217410        10.983448565043048        11.477518998561486        11.886047068592553        12.187032775136238        12.408303956879926        9.6227799571432620        10.903670918036841        11.246170401155283        11.391518998561487        11.595318250336241        12.060004188223616        12.211197954304787        12.340533621185962        8.9007591631518324        9.5464682732255923     
   72028.604379014010      -0.38755400000000001        6.9194901739646748E-004   9.3218431000000006        4.1072000000000001E-003   11.182470441818616        10.989064720942814        11.554341935555119        10.413769726606233        10.915293796851905        11.479020726641416        11.867400232381300        12.248172911630924        10.992064720942814        11.485791650732317        11.894112859646022        12.195028347683923        12.416231208121825        9.6317114310093963        10.912378308814006        11.254530493803514        11.399791650732318        11.603315720083927        12.067859323759727        12.219003887706727        12.348297941253719        8.9121726981888543        9.5565172793468847     
