  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79289.375998590185       -3.4277000000000002E-002   2.7225583208718263E-004   9.1140814999999993        5.0905999999999998E-003   10.651939035263595        10.456537486063880        11.029094969642088        9.8767730215497060        10.382576120843211        10.950725848063172        11.342094969977360        11.724991479621139        10.460119794843212        10.957725848063173        11.369094969642084        11.671528946462608        11.893535153621137        9.0947343876644418        10.378142144022686        10.725835545242646        10.871725848063171        11.079062542021276        11.546425456441661        11.696684737262188        11.823982652862043        8.3515770272489931        9.0089911616875042     
   78211.029033659914       -5.8590000000000003E-002   2.8820780424638315E-004   9.1146075999999994        5.0875000000000000E-003   10.664793768547987        10.469609993141255        11.041358840797251        9.8903393266627901        10.395706878370323        10.963257077258085        11.354358841132530        11.737097931833048        10.473248447970320        10.970257077258090        11.381358840797255        11.683624628071552        11.905639501433047        9.1082424423277928        10.391441091096020        10.738532859583785        10.884257077258088        11.091276828929679        11.558363719107348        11.708463227981650        11.835659622085018        8.3691247985323187        9.0242699469415086     
   77216.302213828763       -8.1345000000000001E-002   3.0545463758795675E-004   9.1151274000000004        5.0844999999999996E-003   10.676709810112323        10.481727059269558        11.052729259663836        9.9029117345131699        10.407877237092771        10.974874700776470        11.365729259999108        11.748322697929817        10.485416727492771        10.981874700776475        11.392729259663833        11.694840202462006        11.916862188329814        9.1207615575840268        10.403766294294600        10.750303248378303        10.895874700776472        11.102601067708429        11.569433640727985        11.719386621926150        11.846489780947534        8.3853693788160744        9.0384226467973026     
   76210.533175649209      -0.10463600000000001        3.2410448075080464E-004   9.1156407999999995        5.0815000000000001E-003   10.688745285473242        10.493965742038117        11.064212702071014        9.9156103141661625        10.420169401930494        10.986608445425940        11.377212702406290        11.759658468598520        10.497706838730494        10.993608445425938        11.404212702071014        11.706167532296199        11.928195905398521        9.1334066551678568        10.416214571705307        10.762191052000755        10.907608445425939        11.114037415280958        11.580613298823710        11.730418381848896        11.857427124766456        8.4017810895103331        9.0527199624768748     
   75138.063847329962      -0.12976499999999999        3.4437337069900310E-004   9.1161481000000002        5.0784999999999997E-003   10.701497206831853        10.506934186462388        11.076375764496937        9.9290684565860730        10.433194498219073        10.999038625986053        11.389375764832213        11.771663689023089        10.510729905819073        11.006038625986051        11.416375764496937        11.718164666724984        11.940199096623090        9.1468081457234547        10.429405595991028        10.774785131358009        10.920038625986052        11.126149882638355        11.592452591251138        11.742099863079183        11.869007446663915        8.4191992516450220        9.0678839406263094     
   74148.266127023002      -0.15329899999999999        3.6647747014148990E-004   9.1166490000000007        5.0756000000000004E-003   10.713320533199946        10.518957475974537        11.087655030701635        9.9415434944551375        10.445269609800016        11.010565013038052        11.400655031036910        11.782796817752518        10.522803013800017        11.017565013038050        11.427655030701635        11.729291127488858        11.951330221752519        9.1592313615237284        10.441633513012791        10.786462320250825        10.931565013038052        11.137381991139817        11.603432914539743        11.752935395326967        11.879750009939668        8.4353285266792231        9.0819339832823136     
   73234.378450756849      -0.17533799999999999        3.9063308651924444E-004   9.1171430000000004        5.0727000000000003E-003   10.724330590130801        10.530152286440650        11.098162189274120        9.9531552222391433        10.456511830513517        11.021300903666027        11.411162189609396        11.793168609037139        10.534043258513517        11.028300903666025        11.438162189274120        11.739657511046328        11.961700037037136        9.1707956790603440        10.453016508741307        10.797337009893820        10.942300903666027        11.147845171192063        11.613663930809349        11.763033540581556        11.889762694426633        8.4503137348654107        9.0950005476211935     
   72378.570266435330      -0.19624600000000000        4.1727241091322754E-004   9.1176321999999992        5.0698000000000002E-003   10.734718518930510        10.540713333677221        11.108078665045046        9.9641064950312490        10.467116866431894        11.031432090010437        11.421078665380318        11.802957911853003        10.544646337631896        11.038432090010438        11.448078665045042        11.749442460517013        11.971487383053006        9.1817029631706468        10.463753070959925        10.807597765738471        10.952432090010440        11.157720054826360        11.623321707324973        11.772567617996945        11.899217061423588        8.4644236707395102        9.1073148033630318     
   71390.430359000908      -0.22061000000000000        4.4672007762184765E-004   9.1181157000000006        5.0670000000000003E-003   10.746483968938415        10.552678345666616        11.119299951179977        9.9765212850551048        10.479132532492779        11.042901098046118        11.432299951515253        11.814032224077939        10.556660069692777        11.049901098046115        11.459299951179977        11.760512344589715        11.982559761277939        9.1940670991230160        10.475920139083039        10.819216241836378        10.963901098046117        11.168893181042039        11.634244617487676        11.783346862097416        11.909903293533317        8.4804868424208717        9.1213042550865513     
   70477.907284992296      -0.24343899999999999        4.7951681253007906E-004   9.1185954000000002        5.0641999999999996E-003   10.757439066940853        10.563817867083854        11.129751928425600        9.9880759651895392        10.490318365797604        11.053582439126350        11.442751928760876        11.824348008596351        10.567843984197607        11.060582439126348        11.469751928425600        11.770824838840346        11.992873626996348        9.2055754673698562        10.487245455382856        10.830035147111603        10.974582439126349        11.179300217867850        11.644420919011095        11.793391355825845        11.919862291354343        8.4954101827291364        9.1343137630716189     
