  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79678.656017471789      -0.18948999999999999        3.9437708396320657E-004   9.2984863999999998        4.2161000000000004E-003   11.045269064043712        10.850333332840219        11.421694598779350        10.271662047464311        10.776339565165372        11.343984947574103        11.734882312389477        12.117242438782842        10.853333332840219        11.350978715248957        11.761688366454198        12.063462286455948        12.285430152057689        9.4894743350835320        10.772565645163620        11.118823136372360        11.264978715248958        11.471656232055945        11.938010126459442        12.089790278786339        12.219346213513234        8.7422629519685877        9.4018142096035291     
   78766.219251497794      -0.20999399999999999        4.3223475332800375E-004   9.2989826999999998        4.2136999999999999E-003   11.056223950199177        10.861470706348877        11.432115993714989        10.283184322119121        10.787494879913789        11.354682058739536        11.745287751285355        12.127477375965286        10.864470706348877        11.361657885174631        11.772091820150079        12.073772511275228        12.295649133200376        9.5010125657780993        10.783814188788638        11.129609506014388        11.275657885174633        11.481968442075226        11.948133893525531        12.099838758215585        12.229327346105643        8.7571373458177408        9.4148657151207349     
   77864.948376008149      -0.23048800000000000        4.7711254951659046E-004   9.2994869999999992        4.2112000000000000E-003   11.067111050867613        10.872538061192412        11.442476386813105        10.294632291867824        10.798580324112297        11.365314850300301        11.755632072228494        12.137653480488304        10.875538061192412        11.372272587380415        11.782434123893218        12.084022670730818        12.305809165568419        9.5124766076817835        10.794991777274696        11.140330407462702        11.286272587380417        11.492220618730819        11.958199764406022        12.109830574163510        12.239253175920993        8.7718958768507775        9.4278237216027954     
   77039.064424064243      -0.24952900000000000        5.3106577233293702E-004   9.3000032000000008        4.2087000000000001E-003   11.077192766291532        10.882784953406720        11.452075401847488        10.305228562044540        10.808844175908238        11.375163695320264        11.765216192481248        12.147083189132299        10.885784953406720        11.382104472818749        11.792016179345971        12.093520072988380        12.315223979430783        9.5230877726401282        10.805340282265828        11.150259776077863        11.296104472818751        11.501720085788374        11.967527860273190        12.119090976417116        12.248454143761034        8.7855247636680538        9.4398029053161849     
   76293.229673365218      -0.26695400000000002        5.9572123463883029E-004   9.3005264000000007        4.2062000000000002E-003   11.086419611034691        10.892160965100016        11.460866253542802        10.314920693840696        10.818235881004112        11.384180390240791        11.773993443573987        12.155720688277475        10.895160965100017        11.391105474336699        11.800791337638712        12.102218555006045        12.323847877973384        9.5327935050388586        10.814808663636773        11.159348961673457        11.305105474336701        11.510420660606046        11.976072989740720        12.127575123012148        12.256885678683579        8.7979545122392206        9.4507430771859529     
   75628.937656966620      -0.28267100000000001        6.7324945995537175E-004   9.3010526000000002        4.2036000000000000E-003   11.094827558724923        10.900701771193528        11.468885762158052        10.323743667275622        10.826791032832478        11.392401291260960        11.782000711254376        12.163603128889445        10.903701771193528        11.399312029622010        11.808796500519101        12.110155183884800        12.331718077650493        9.5416287194086422        10.823432349466781        11.167634187095267        11.313312029622011        11.518359394284797        11.983872550616191        12.135320495620839        12.264585282225482        8.8092147059999633        9.4606767917139010     
   75031.218602040564      -0.29697800000000002        7.6550249592870049E-004   9.3015770999999994        4.2011000000000001E-003   11.102473506352354        10.908467262631945        11.476182130847594        10.331763592831077        10.834569772765963        11.399879073666984        11.789285929448855        12.170775757768002        10.911467262631945        11.406776563532965        11.816079620713577        12.117376434173782        12.338879556033984        9.5496597954591600        10.831272959305753        11.175169643406779        11.320776563532966        11.525582742573778        11.990970061094192        12.142369384688411        12.271593941882632        8.8194266495635780        9.4696953951676583     
   74434.452794956131      -0.31133300000000003        8.6579840163517475E-004   9.3020600000000009        4.1987999999999999E-003   11.110008687486316        10.916121796927323        11.483368776118288        10.339672151870269        10.842237693882320        11.407246680279799        11.796461119498568        12.177839186677277        10.919121796927323        11.414130783324802        11.823252879163290        12.124488084442783        12.345931529722280        9.5575798097193374        10.839002488602825        11.182594995000306        11.328130783324804        11.532696324442783        11.997958495001777        12.149309597236270        12.278493659470763        8.8295240604680050        9.4786012060579186     
   73945.202057115865      -0.32324199999999997        9.7414942675337103E-004   9.3025099000000004        4.1966000000000000E-003   11.116346249161214        10.922557208749790        11.489420465929282        10.346316341366673        10.848684383483590        11.413446944912149        11.802503331130758        12.183789427140706        10.925557208749790        11.420319770178345        11.829293291195484        12.130477771801193        12.351872292006906        9.5642334773945450        10.845499902877879        11.188842385106437        11.334319770178347        11.538687811401193        12.003846733012619        12.155158388352131        12.284310202091643        8.8379618011156147        9.4860622448298457     
   73535.999547540079      -0.33330100000000001        1.0911099522404300E-003   9.3029309999999992        4.1945000000000003E-003   11.121779264975231        10.928072065065724        11.494614275106937        10.352006246755820        10.854208923468903        11.418765199242674        11.807689141039035        12.188898027016442        10.931072065065724        11.425628340839495        11.834477416703756        12.135619292658511        12.356972892613264        9.5699313820530705        10.851067047514150        11.194199875287921        11.339628340839496        11.543831016658508        12.008903044568019        12.160181778925953        12.289307409283886        8.8451510189208093        9.4924347420158917     
