  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		       G3      			Bp3    			Rp3     		    u      			g      			 r      		 i       		z     				g		       r       			i      			 z       			y  	   	 	U      			 B       		V      			 	R    			I     		 	 J       		    H       			K 		     FUV    			 NUV
   79474.718808260790       -1.7010999999999998E-002   2.6682348271086197E-004   9.1008730999999994        5.1685999999999998E-003   10.617822712291224        10.422331260929573        10.995135384598486        9.8423796907344983        10.348362594351874        10.916665127933703        11.308135384933758        11.691061661782436        10.425959101951873        10.923665127933704        11.335135384598482        11.637648030657006        11.859658169382437        9.0603483582062712        10.343849948293348        10.691748989475178        10.837665127933706        11.045114189901609        11.512574307840962        11.662700923499488        11.789858872580313        8.3167092624380050        8.9744030180099248     
   78340.258453224058       -4.2526000000000001E-002   2.8223609267200798E-004   9.1014095000000008        5.1653999999999997E-003   10.631303767608257        10.436041353917611        11.008000933410711        9.8566151743727755        10.362140002648134        10.929805845144221        11.321000933745990        11.703767633831879        10.439734364648134        10.936805845144223        11.348000933410715        11.650330672525511        11.872361995831879        9.0745165265363230        10.357810263533336        10.705070468029424        10.850805845144224        11.057933607986557        11.525097372946680        11.675049664061481        11.802100603906799        8.3351336669899165        8.9904281624353199     
   77294.216629435061       -6.6402000000000003E-002   2.9894343507405098E-004   9.1019375999999994        5.1622999999999999E-003   10.643795215927392        10.448744123001505        11.019924245416943        9.8698021861675524        10.374904372913397        10.941983480916223        11.332924245752222        11.715543338654721        10.452496622513396        10.948983480916224        11.359924245416947        11.662085666767998        11.884135588254720        9.0876419371497317        10.370742951562343        10.717414309165170        10.862983480916226        11.069813916991778        11.536704760005774        11.686497182956826        11.813449855819771        8.3521825839327146        9.0052660181678004     
   76328.899354790628       -8.8760000000000006E-002   3.1683803648522256E-004   9.1024595000000001        5.1592000000000001E-003   10.655421514162262        10.460565572291303        11.031025670185036        9.8820703420652141        10.386782226701198        10.953320183968698        11.344025670520308        11.726508104465891        10.464372388701198        10.960320183968699        11.371025670185032        11.673032067710613        11.895098266465888        9.0998536885493859        10.382775829175619        10.728903948443117        10.874320183968697        11.080875214530410        11.547514501991470        11.697160251517053        11.824022655452529        8.3680140633465587        9.0190582292363448     
   75271.921048462304      -0.11349600000000000        3.3624366407960339E-004   9.1029751000000001        5.1561000000000003E-003   10.668032293663774        10.473389809854080        11.043061604026871        9.8953828994746438        10.399667867988097        10.965613869978313        11.356061604362143        11.738394046370576        10.477255967588096        10.972613869978314        11.383061604026867        11.684898837597697        11.906982145970577        9.1131048422346979        10.395830634417269        10.741364736007487        10.886613869978312        11.092866854265733        11.559231279941411        11.708716115112235        11.835479008417082        8.3852291908894045        9.0340407175182946     
   74232.314210478376      -0.13816600000000001        3.5737641730861471E-004   9.1034843999999993        5.1530999999999999E-003   10.680415548714951        10.485983023472851        11.054879022018859        9.9084559944722166        10.412321045850479        10.977685242978090        11.367879022354135        11.750063507238583        10.489907108250478        10.984685242978092        11.394879022018859        11.696550293462284        11.918649569638578        9.1261179729886628        10.408649774407056        10.753600033934671        10.898685242978093        11.104640275817534        11.570734778682006        11.720061800525425        11.846726844746474        8.4021406823875147        9.0487571412532226     
   73272.160952568636      -0.16128500000000001        3.8034469183838835E-004   9.1039869000000007        5.1501000000000003E-003   10.691947321965237        10.497708837374724        11.065887611991023        9.9206248083538711        10.424101778428970        10.988928970251010        11.378887612326302        11.760934985235785        10.501685830828968        10.995928970251008        11.405887611991027        11.707405939432036        11.929519037635785        9.1382318681936958        10.420583450987959        10.764994695210000        10.909928970251009        11.115607769140528        11.581453312676796        11.730635430517808        11.857210489413063        8.4178540233234393        9.0624443583200822     
   72385.736907346902      -0.18292600000000001        4.0558054031006920E-004   9.1044830999999995        5.1470999999999999E-003   10.702689025013610        10.508629810032138        11.076145736342427        9.9319545807595428        10.435073011616550        10.999404746085814        11.389145736677703        11.771066085308307        10.512655079216549        11.006404746085812        11.416145736342427        11.717523176048749        11.939648152908306        9.1495113800691978        10.431695571910224        10.775609373979490        10.920404746085813        11.125827511617571        11.591443525014631        11.740492694320954        11.866985065211692        8.4324556254964289        9.0751765609422979     
   71477.606288215582      -0.20534700000000000        4.3319270350653482E-004   9.1049723000000000        5.1443000000000001E-003   10.713580239358279        10.519704607300632        11.086541307194612        9.9434477355546811        10.446199000564039        11.010023521244740        11.399541307529887        11.781331221715661        10.523779111364039        11.017023521244738        11.426541307194611        11.727774785360026        11.949911332515661        9.1609533431853478        10.442965522398623        10.786370153879325        10.931023521244740        11.136183461086837        11.601564699881074        11.750477734846491        11.876885163075315        8.4473010363823562        9.0881072408319739     
   70519.625941907987      -0.22927200000000000        4.6382948783926282E-004   9.1054572999999994        5.1414000000000000E-003   10.725049278102091        10.531367182113712        11.097487352012585        9.9555511167882251        10.457915309659057        11.021205165884666        11.410487352347861        11.792139404746315        10.535493480459060        11.028205165884664        11.437487352012585        11.738569357861429        11.960717575546312        9.1730029901369470        10.454833303810211        10.797701330835821        10.942205165884666        11.147087442152120        11.612221410595158        11.760990733244000        11.887308183438194        8.4629411848972360        9.1017278400903585     
   69634.265655550524      -0.25170100000000001        4.9792391889403123E-004   9.1059367000000009        5.1384999999999998E-003   10.736815593854599        10.543349060957935        11.108669935096215        9.9680443187807892        10.469940812033743        11.032700295868443        11.421654437555679        11.803084396682626        10.547443918364854        11.039648224558183        11.448654437220403        11.749544716917070        11.971603000889546        9.1854891420334948        10.467050532337078        10.809208979882376        10.953648224558185        11.158136467992881        11.622864956075956        11.771461378338264        11.897696045303823        8.4784521131910306        9.1154832008881979     
   68816.249533320180      -0.27270499999999998        5.3612533808922083E-004   9.1064138000000003        5.1357000000000000E-003   10.749148828139067        10.555929608479069        11.120332916227383        9.9812342750658409        10.482554340233236        11.044776101860723        11.433282529608494        11.814383373886546        10.559891934939898        11.051607339859892        11.460282529273218        11.760927404133213        11.982771355547374        9.1987279192524127        10.479909465373240        10.821131297705726        10.965607339859890        11.169552135887379        11.633673123606538        11.782055821543210        11.908214412096545        8.4941005076982883        9.1296547765199243     
   68059.851943130561      -0.29237999999999997        5.7929971819191905E-004   9.1068897000000000        5.1329000000000001E-003   10.760641647803617        10.567651251020678        11.131206302427437        9.9935198653039166        10.494306644958176        11.056031494055873        11.444123350025208        11.824919731667187        10.571491056546805        11.062754526512681        11.471123349689933        11.771541305272873        11.993187095993314        9.2110584870661718        10.491888689375237        10.832244014975181        10.976754526512682        11.180196699210377        11.643755642833064        11.791940052277369        11.918028713871685        8.5086581844992786        9.1428480438662305     
   67201.814578484089      -0.31489800000000001        6.2842210269630524E-004   9.1073658000000002        5.1301000000000003E-003   10.773525849693195        10.580794768519651        11.143388899946897        10.007303132387174        10.507485477086183        11.068646919057654        11.456268728515637        11.836719990811757        10.584496376801878        11.075246928748969        11.483268728180361        11.783429272553908        12.004851062293985        9.2248922432568623        10.505324932712638        10.844697293782437        10.989246928748967        11.192119981120440        11.655041079558847        11.802998426750568        11.929006997808417        8.5250193117548800        9.1576609557870636     
   66385.311891667880      -0.33660800000000002        6.8490101437436121E-004   9.1078420999999992        5.1273000000000004E-003   10.785844108132778        10.593359882965274        11.155040004480433        10.020477458369619        10.520084440787855        11.080710085334601        11.467884078593130        11.848006834614523        10.596930134766190        11.087192690301187        11.494884078257854        11.794799671825356        12.016008454815434        9.2381143702519424        10.518168847220352        10.856605395678610        11.001192690301188        11.203524229647932        11.665838021749522        11.813578321648372        11.939510958037541        8.5406456663543580        9.1718150849936855     
   65632.205726195112      -0.35690899999999998        7.5047144392004835E-004   9.1083210000000001        5.1244999999999997E-003   10.797297256108706        10.605040878390849        11.165878172337109        10.032720867025855        10.531796843928262        11.091928637474012        11.478688923134971        11.858508521090172        10.608490001073498        11.098302608509215        11.505688922799695        11.805378584517555        12.026390927772823        9.2504016818098904        10.530107182210401        10.867680074971801        11.012302608509216        11.214134550054965        11.675887844525889        11.823427202948857        11.949290275521477        8.5551493950938919        9.1849622210484902     
   64937.415533692569      -0.37587900000000002        8.2762838928499601E-004   9.1088038000000005        5.1215999999999996E-003   10.807996948059269        10.615950938599163        11.176010854381801        10.044150293402613        10.542736054770266        11.102412577014952        11.488790523345976        11.868330274024174        10.619288322677004        11.108685987197219        11.515790523010700        11.815271747670806        12.036102873302013        9.2618714365722106        10.541254830110159        10.878030440626119        11.022685987197221        11.224056863841909        11.685292723344389        11.832646000213352        11.958445387366723        8.5686627826000290        9.1972253956562504     
   64296.746854161145      -0.39359100000000002        9.1952133724279865E-004   9.1092916000000006        5.1187000000000003E-003   10.817958004232079        10.626106146575832        11.185449397730036        10.054784916348456        10.552918307240436        11.112175357102956        11.498200071000706        11.877481603007094        10.629340490211270        11.118355704723765        11.525200070665431        11.824489094721677        12.045153113042534        9.2725430818925041        10.551629283184187        10.887669211259162        11.032355704723766        11.233301255386284        11.694059651119591        11.841240683146584        11.966981857032000        8.5812176822654145        9.2086288210175304     
