source_id,distance,wd_phot_bp_mean_mag,wd_e_bpmag,wd_phot_rp_mean_mag,wd_e_rpmag,CO_radius,CO_e_radius,CO_teff,CO_e_teff,CO_chi2,CO_roe,ONe_radius,ONe_e_radius,ONe_teff,ONe_e_teff,ONe_chi2,ONe_roe,CO_failed,ONe_failed
5040272391054593792,234.52574157714844,20.144596099853516,0.06987038563595442,20.045562744140625,0.07747317857036867,0.007661077311220616,3.1235526437781965e-09,10263.171043065302,0.00437921594216242,3.943084189289239e-17,2452680.708449308,0.0078327830815238,8.606865313427359e-09,10233.355544138383,0.019917932158859755,2.232303078756591e-15,910062.2347725213,False,False
5151453769905064960,153.09060668945312,20.82499885559082,0.13128911715243244,20.236492156982422,0.15242463018530322,0.006826566392415987,1.4608393410057531e-07,6935.53087113133,0.09248092923195607,2.4753830085126712e-15,46730.43914408862,0.006807541156178665,4.898752281162846e-09,6952.949617349939,0.0027176466295634415,6.589500675266253e-18,1389647.9685971625,False,False
5157906631849979520,111.80268859863281,17.675392150878906,0.22473246168783131,17.45738983154297,0.21896475419676711,0.013579935799483646,2.814263979016281e-07,9066.348472899259,0.39402398283550516,5.5369420926035605e-15,48253.95165747912,0.013540357145613727,3.627757396473053e-08,9091.469637325426,0.01280781788979716,2.9716003250191093e-18,373243.18210412347,False,False
5184818239796776832,265.64208984375,20.721099853515625,0.1636579715248598,20.671722412109375,0.2062620595277179,0.0062318174086003235,4.100305738346877e-08,10852.7959159656,0.142684133855154,7.412938116727329e-17,151984.21303853331,0.006154134911654467,6.97491409089751e-08,10911.546720445904,0.1407668644058579,9.884613610051457e-16,88232.41163193411,False,False
5189630119293050752,289.4900817871094,18.49576187133789,0.2319552837804091,18.44824981689453,0.34683802340560094,0.018737626421771243,4.776737081198773e-07,10899.03624646154,0.0403637751747085,5.917184120199404e-19,39226.83225652611,0.01863828645196058,1.8302264378521072e-07,10934.04080667601,0.10525789311190767,5.914949210621112e-17,101835.95901845813,False,False
5231034085066718848,113.50209045410156,21.19814682006836,0.13842237449196101,20.49063491821289,0.11347256010664222,0.005087701204124457,1.631771787160814e-09,6321.057990595182,0.001155461900041405,8.34315618716017e-18,3117899.968706258,0.005067778047939417,2.851799571765691e-07,6344.558993808972,0.18654693142091353,5.450567807414173e-14,17770.456585073767,False,False
5243878133222582656,191.5089874267578,20.62141227722168,0.21903783902858923,20.374713897705078,0.13412515250644924,0.0061908417678590445,1.449236578291866e-07,8854.285241020387,0.1545793091371564,9.311069268823354e-15,42717.95137241045,0.006187851685103245,3.0531789991946955e-09,8867.133492881072,0.006836588281130531,3.839002045248616e-18,2026691.4212155098,False,False
5313960729506482176,238.66986083984375,20.42058563232422,0.10694294519017906,20.331005096435547,0.17549356341696518,0.0067744167425692866,6.683237191664855e-07,10372.488926638951,1.3378692203732652,5.056009657832835e-14,10136.430218305208,0.007025938189376656,5.276768623111119e-09,10305.961784142266,0.028342438901644947,2.1788002502743663e-16,1331484.9846939559,False,False
5314208149677934464,219.26951599121094,20.546125411987305,0.08357797121870793,20.417585372924805,0.09493175312383112,0.00622855760431135,1.5701246448279082e-09,9919.81842455972,0.0033761730923213148,7.613229831489795e-18,3966919.2027706974,0.006207126811513235,4.877792800156574e-08,9961.250406485036,0.24396625333075878,1.3228485178238608e-14,127252.77734868096,False,False
5483752365939343616,624.1797485351562,20.045391082763672,0.03752339937459815,20.51078987121582,0.10322879576646844,0.006176014731462022,4.309969352890746e-08,42355.27619348752,2.8887050371285476,5.540150540734674e-16,143296.02430513102,0.006185156068129934,5.704283863892718e-07,42295.5106605626,10.148357482556998,6.890420897818635e-10,10843.001883691424,False,False
5503557422214467968,218.73275756835938,20.388931274414062,0.0853197657387755,20.197019577026367,0.13186026895737205,0.007426385279454304,1.6430716810538558e-07,9270.065889027688,0.04000386121530155,1.4137524868740955e-13,45198.18194840451,0.007327453705483154,1.8114280976289162e-08,9319.65838162808,0.020258071224021332,1.3127872580976692e-16,404512.5343409703,False,False
5534953770588244096,154.1143798828125,21.07513999938965,0.1562908904014612,20.321163177490234,0.20066681312232854,0.007815319266119959,1.7944378535840054e-07,6117.005137125764,0.04460101431867535,7.686601960340974e-16,43553.022750331154,0.007788536964495308,2.5719216707618447e-06,6137.967885146501,0.8366905346380114,1.656325984346279e-15,3028.29477780644,False,False
5541177556159323648,283.4869689941406,19.861156463623047,0.3047805036486001,20.152711868286133,0.15459641031471189,0.004598132481105115,6.377515976475865e-05,22447.697489907416,474.50671619630504,7.316551408769721e-11,72.09911348032381,0.0046195486169971125,4.1315629907062767e-07,22539.716485891335,2.0880075290072493,2.5707428295070705e-13,11181.116268561154,False,False
5572290711564890624,500.1643981933594,20.112855911254883,0.055359619730862765,20.542593002319336,0.14854699835837717,0.0052913259890937075,3.988313482707742e-07,37814.99082469433,6.64569327170789,9.682901130261895e-15,13267.07645232873,0.005291806351721288,1.5693615645085293e-07,37818.893998418826,0.49429620025058235,5.700125127069877e-13,33719.48486184891,False,False
5596044801296770048,128.0424041748047,20.40972328186035,0.056884498417385285,20.24973487854004,0.08439055908316419,0.004055794805851258,1.0532060796938218e-09,9597.01788263422,0.002968220537798974,3.3952859535084744e-17,3850903.336059663,0.004042411102170774,2.7692918270785616e-09,9632.715073433455,0.009215749644809547,1.847523402129077e-16,1459727.379629498,False,False
5613192196225478272,341.00311279296875,19.560043334960938,0.0374231809370113,20.047603607177734,0.05640696193573553,0.003970182731354531,1.058721656170463e-07,45091.65840563893,0.8155401586148903,1.9337637892786472e-11,37499.7782298627,0.0039667194672887655,1.2662306574648967e-08,45175.87159386017,1.2346863642720005,2.512013977891967e-15,313269.89627865126,False,False
5678555452372674688,335.0165100097656,18.796144485473633,0.11288147434312304,19.154102325439453,0.10194543672276905,0.007657107567888529,1.2414308197759324e-05,30393.811090763236,99.33781973814119,2.0736132975238248e-10,616.7969608866784,0.0076647547611999375,7.595720946156545e-07,30345.31423387721,2.261836847704283,9.48147531975464e-15,10090.885138530957,False,False
5748767000747201408,394.508056640625,17.5387020111084,0.1263332488013389,18.056989669799805,0.28020829291064275,0.002625979274437596,nan,41750.0,nan,4746.314204778725,nan,0.010677892700654461,3.0330832457379335e-09,48750.72638444276,0.1059904918364641,3.247466463224634e-18,3520474.657482269,True,False
