teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
53634.0,6.6821,1.17464,0.005126789,5.759,6.218,6.763,7.151,7.518,0.35153,0.04476660627948208,142694464.4280572,138235379.12604365,38579014.00193645,15072736.77628248,6489230.814643636
53264.0,6.68664,1.158073,0.005127087,5.779,6.237,6.781,7.169,7.536,0.35153,0.04453322758161042,141562142.12433985,137264808.32550377,38343444.465144746,14980700.271140167,6449606.549050318
52857.0,6.69174,1.139652,0.005127442,5.801,6.257,6.801,7.189,7.556,0.35153,0.04427251279383467,140361217.21773633,136351276.45881468,38088259.18623106,14880999.938258408,6406682.793267319
52484.0,6.69679,1.122297,0.005127794,5.822,6.277,6.821,7.209,7.575,0.35153,0.044015858015089504,139282683.57102746,135428231.72780642,37830416.59122093,14780261.397763077,6369175.587176491
52115.0,6.70148,1.105354,0.005128153,5.842,6.296,6.84,7.227,7.594,0.35153,0.043778832152662144,138225167.7840703,134523825.1796717,37577780.371672764,14695085.419642024,6326641.441719706
51694.0,6.70674,1.086005,0.005128583,5.865,6.318,6.861,7.248,7.615,0.35153,0.04351451747968374,136976834.5704942,133431757.98564762,37307068.434564255,14589221.395727374,6281064.0461647
51211.0,6.71251,1.063927,0.005129105,5.89,6.342,6.885,7.272,7.638,0.35153,0.04322641036917086,135649165.3150264,132260210.0098809,36979507.58124023,14461126.157740451,6231652.418603389
50791.0,6.71768,1.044442,0.005129595,5.913,6.364,6.906,7.293,7.659,0.35153,0.042969883093270274,134396242.20799503,131159335.5762849,36705498.26070238,14353972.666202275,6185477.362288774
50344.0,6.72357,1.0232,0.005130163,5.939,6.388,6.93,7.316,7.683,0.35153,0.04267948517950987,133007804.79468864,130043667.19054288,36393273.71479061,14244988.890826322,6132862.414877616
49743.0,6.73105,0.994859,0.005130981,5.972,6.42,6.96,7.347,7.713,0.35153,0.04231352165207875,131267473.28942,128460381.6545397,36016468.23724051,14084522.077281835,6069364.52323156
49372.0,6.73532,0.977584,0.005131516,5.992,6.438,6.979,7.365,7.731,0.35153,0.04210601803212324,130144891.53021692,127596631.09710275,35741364.10749201,13989819.620082218,6028554.921681949
48685.0,6.74364,0.944917,0.005132604,6.03,6.474,7.014,7.4,7.766,0.35153,0.041704620357913086,128099408.9089629,125822760.14292738,35276957.65684755,13808042.49329492,5950222.718544082
48348.0,6.74816,0.928332,0.005133198,6.05,6.493,7.032,7.418,7.785,0.35153,0.041488159791770084,127077050.38966624,124933586.61766367,35059936.38935192,13723096.424173037,5908173.24748859
47765.0,6.75526,0.900161,0.005134276,6.084,6.524,7.063,7.448,7.815,0.35153,0.041150410518705674,125189275.41471834,123418199.95269375,34634675.564641036,13569133.48715782,5841887.937128477
47123.0,6.76294,0.86897,0.005135587,6.12,6.559,7.096,7.481,7.848,0.35153,0.040788165435136935,123267084.94326444,121635181.62609884,34197245.31393817,13397757.565012155,5768105.8541941065
46765.0,6.76686,0.851801,0.005136369,6.14,6.577,7.114,7.499,7.865,0.35153,0.04060450047844656,122114469.12716652,120719994.77340318,33939944.186983414,13296952.424466603,5729981.526482168
46227.0,6.77333,0.825229,0.005137658,6.171,6.606,7.143,7.527,7.894,0.35153,0.04030316681615557,120458409.83595848,119302407.56193411,33541395.206528805,13152918.069913482,5662695.6675891215
45793.0,6.77854,0.803635,0.005138783,6.197,6.63,7.166,7.55,7.917,0.35153,0.04006214256650203,119027448.97065537,118102531.8402667,33234651.094213422,13032631.47620234,5610908.956118949
45320.0,6.78402,0.780121,0.005140107,6.224,6.656,7.191,7.575,7.941,0.35153,0.03981018283091312,117578286.22083557,116772131.57802863,32890549.085833937,12897695.362303738,5557931.908082292
44977.0,6.78816,0.762777,0.00514115,6.245,6.675,7.21,7.593,7.96,0.35153,0.03962088500881307,116430597.39127824,115845510.5660051,32629552.960576568,12807138.758111287,5513828.093072448
44549.0,6.79345,0.740883,0.00514255,6.272,6.7,7.234,7.617,7.984,0.35153,0.03938031376789189,114962745.19798665,114595933.82704918,32307334.16878114,12680667.495021017,5459378.71007097
44131.0,6.79796,0.719989,0.005143986,6.296,6.722,7.256,7.639,8.005,0.35153,0.039176368142171236,113623228.65203588,113469517.45395973,31989770.456324335,12556023.356166612,5410697.09661681
43773.0,6.80224,0.701567,0.005145341,6.318,6.743,7.276,7.658,8.025,0.35153,0.03898380016271638,112446806.4574148,112398161.61413579,31716928.546983548,12460403.751282401,5364549.065366598
43348.0,6.80688,0.67998,0.005147052,6.344,6.766,7.298,7.681,8.047,0.35153,0.03877610405294935,110965283.17465563,111224178.81368044,31414570.310635,12330256.607586589,5313408.691171577
42924.0,6.81202,0.657763,0.005148951,6.371,6.791,7.323,7.705,8.071,0.35153,0.03854731848888492,109528496.40845211,109986455.89714158,31064983.251405463,12204278.647787014,5259121.711768164
42460.0,6.81736,0.633539,0.005151215,6.4,6.818,7.349,7.731,8.097,0.35153,0.03831106033496847,107961056.4737493,108612349.3796173,30705142.96332936,12062910.757489486,5198202.835473443
42116.0,6.82106,0.615703,0.005153016,6.422,6.838,7.368,7.749,8.116,0.35153,0.038148210651944826,106700664.91471533,107542272.14144233,30430642.628335822,11966085.865049863,5151731.518879803
41771.0,6.82519,0.597285,0.00515502,6.445,6.859,7.388,7.769,8.136,0.35153,0.03796725263600259,105462272.6234262,106490093.40473203,30160679.647751536,11859929.703791214,5106028.350103743
41387.0,6.82944,0.576997,0.005157394,6.47,6.882,7.41,7.791,8.158,0.35153,0.037781932876284265,104075169.23952678,105283231.86784194,29846342.871122863,11736324.661807062,5052812.954705123
41013.0,6.83326,0.557409,0.005159878,6.493,6.903,7.431,7.812,8.178,0.35153,0.037616135147085505,102793848.4664286,104178765.77598773,29533241.98048542,11613205.600946266,5004413.901204956
40677.0,6.83723,0.539141,0.005162393,6.516,6.924,7.451,7.832,8.198,0.35153,0.037444597973498625,101563375.3556691,103121496.75846392,29260458.27984886,11505940.26237714,4958190.647273323
40327.0,6.84112,0.520238,0.005165224,6.54,6.946,7.472,7.852,8.219,0.35153,0.037277276249985204,100236784.3428259,101962202.45525199,28958170.698449206,11397565.977159765,4906967.954704826
39992.0,6.84479,0.502079,0.005168177,6.562,6.966,7.492,7.871,8.238,0.35153,0.03712010295694226,99059726.77361491,100950670.5356175,28670886.653083973,11294892.839115493,4862764.32392946
39636.0,6.84838,0.482955,0.005171579,6.586,6.987,7.512,7.892,8.258,0.35153,0.03696699698780481,97698326.75604188,99838766.79123645,28381224.157621425,11170487.190559056,4813635.726479401
39301.0,6.85205,0.46454,0.005175162,6.61,7.009,7.533,7.912,8.279,0.35153,0.03681113193448065,96373387.76301163,98666383.05084898,28073794.968400065,11059668.631534003,4761493.785019114
38959.0,6.85571,0.445701,0.005179214,6.635,7.031,7.554,7.933,8.299,0.35153,0.036656346078986234,94976710.93227462,97505521.17039451,27769056.479467858,10939616.935257874,4714148.095354534
38647.0,6.85935,0.428091,0.0051834,6.658,7.052,7.574,7.953,8.319,0.35153,0.036503051581329556,93768533.90972207,96442666.16246699,27491670.10414269,10830340.601315342,4667058.254405694
38316.0,6.86293,0.409574,0.005188291,6.683,7.074,7.596,7.973,8.34,0.35153,0.03635290923474543,92392586.62072062,95290412.72103885,27163212.039381675,10720674.615420949,4615547.468302291
37975.0,6.86644,0.390532,0.005193922,6.708,7.096,7.617,7.995,8.361,0.35153,0.03620630221105108,91022157.58271316,94136751.60906892,26859079.445634898,10590881.648377122,4563869.54372325
37643.0,6.87004,0.371677,0.005200232,6.734,7.119,7.639,8.016,8.383,0.35153,0.03605655019536746,89608070.47278747,92930699.8890545,26539401.44497412,10474471.390463613,4509550.158207167
37308.0,6.8737,0.352489,0.005207603,6.76,7.142,7.662,8.038,8.405,0.35153,0.035904937254529326,88228140.43159911,91752774.97929251,26203006.452904448,10351233.726538725,4456492.929242321
36957.0,6.87737,0.332399,0.005216567,6.788,7.167,7.686,8.061,8.428,0.35153,0.035753550195374295,86711585.2033082,90425143.77644333,25847653.540149007,10220264.015642941,4400106.8398184525
36647.0,6.881,0.314138,0.005226238,6.814,7.19,7.708,8.083,8.45,0.35153,0.03560444104134762,85370362.5489543,89272810.5928321,25541777.879772734,10099319.574781032,4348036.906922414
36256.0,6.88558,0.290919,0.005241386,6.848,7.22,7.737,8.111,8.478,0.35153,0.03541719577545429,83615564.43970072,87760524.0621249,25132235.685705334,9946541.864247713,4282261.869402765
35903.0,6.89002,0.269484,0.005259531,6.881,7.249,7.764,8.138,8.505,0.35153,0.03523661425386073,81945880.44964947,86325520.96817173,24766869.956326067,9801941.695425473,4220007.490171486
35624.0,6.89379,0.252162,0.005278483,6.907,7.272,7.786,8.16,8.527,0.35153,0.035084005636988325,80704383.77639839,85252909.20607188,24481674.747701265,9689070.476265179,4171413.3029092285
35324.0,6.8979,0.233363,0.005305773,6.937,7.298,7.811,8.185,8.551,0.35153,0.03491838685278598,79251433.37188053,84027067.65547527,24151890.098943133,9558552.17076784,4119013.561155372
