teff,log(L/Lsun),tcool(gyr),logg,Radius,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,2MASS_J_mag,2MASS_H_mag,2MASS_Ks_mag,GALEX_FUV_mag,GALEX_NUV_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,GALEX_FUV,GALEX_NUV
79897.46496958123,0.255541,0.00011424289026115276,8.7890218,0.0069991,9.976703609206071,9.780724116212157,10.355496254490864,9.198914163908372,9.705890456915201,10.276516761496945,10.66849625482614,11.051486000987824,9.784734369715197,10.282681501759408,10.695496254490864,10.998484400547243,11.220477347925362,8.416912564361864,9.701746223658821,10.05069335570303,10.197516761496948,10.405496254490865,10.87093375558174,11.016528944313192,11.139969646285225,7.674990023077454,8.329388794810532,81496541.4485484,159829691.50984275,28664859.967684068,245620950.3083194,227660126.22351122,62053797.81195125,24155585.020281598,10247614.23991932,196622089.15257967,61134301.442632444,23124294.646741495,11561745.322925163,7428339.627926573,4462347.800237567,1423583.3355042718,478881.3309880061,1772022115.4908583,663565834.6169853
78581.2621415134,0.225858,0.00012770498253061646,8.7898519,0.0069924,9.993194445045674,9.797478192617369,10.371325668516427,9.216108452200256,9.722779474003218,10.292609416088126,10.684325668851706,11.067183794730582,9.801620066403217,10.29888808171427,10.71132566851643,11.014161178970873,11.23606453670444,8.43408583733462,9.718784555948773,10.067052571259822,10.213609416088126,10.421325668516427,10.886378269958882,11.031612894761043,11.154710727722907,7.697158225996869,8.3486746331082,80421971.06726167,157684025.87418672,28304137.6569512,242225332.56827953,224575944.21390238,61258050.751864344,23851608.00956372,10119883.661326889,193958982.17747313,60344013.369467326,22833295.52766514,11417855.861078067,7336497.01289208,4407755.334872215,1406634.2382477478,473329.2497209518,1739537219.435715,653132884.7269013
77309.70213690535,0.196705,0.0001418142466428378,8.7906633,0.0069859,10.009133203872366,9.813671263444984,10.386625401740819,9.23272852222112,9.739102946431291,10.308163461313438,10.699625402076094,11.082356371954507,9.817940293231295,10.314551385744107,10.726625401740819,11.029312613398869,11.251131100723839,8.45068476455955,9.735253081573244,10.082864174086058,10.229163461313437,10.436625401740816,10.901306271981891,11.0461935539786,11.168961941330949,7.718582590039311,8.367314547540502,79397533.01855184,155638942.11246806,27960042.905419838,238989781.33195668,221636684.26271546,60499161.32818935,23561642.873330057,9998026.60333018,191421010.60334727,59590450.45630906,22555710.064844847,11280589.13335593,7248863.444155518,4355661.066323988,1390454.3000927384,468026.7291086943,1708723447.0457597,643210882.980388
75935.0004751767,0.164747,0.00015667853840318458,8.7914534,0.0069795,10.026175666749797,9.830988666654761,10.402977353387385,9.250508785659179,9.756560980207244,10.32479035329235,10.71597735372266,11.0985708534349,9.835395166607242,10.331295263624312,10.742977353387385,11.045503450214383,11.267231756702941,8.468441383332731,9.752869069780246,10.099769166797316,10.24579035329235,10.452977353387382,10.917255294329937,11.06176645209301,11.184179199476606,7.741556754327057,8.387277009772447,78304393.38181312,153457251.3216805,27592633.910152387,235539274.25317487,218501557.46163663,59689055.049590774,23252031.061780848,9867896.858072007,188713844.16815284,58786177.72021259,22259316.71521726,11134008.609017374,7155265.648650581,4300020.985654725,1373167.9752311422,462359.5785927536,1676016227.319496,632651446.1750869
74686.48146695788,0.135187,0.00017229802926115666,8.7922128,0.0069734,10.041739505057325,9.846802208763933,10.417913894590804,9.26674455342588,9.772502411817236,10.339976598297412,10.73091389492608,11.113382542737497,9.851333560617238,10.346587081952663,10.757913894590803,11.060292823339445,11.281940910282248,8.484654834921898,9.768954631868596,10.115208153204023,10.260976598297411,10.4679138945908,10.931826392630889,11.075997461269033,11.198089398105225,7.762508502947458,8.405494166974766,77325023.8268672,151503081.5805034,27263274.15507554,232449434.4152905,215693686.22730815,58963013.82786721,22974482.95671468,9751229.864189949,186289283.4439424,58065472.48455005,21993618.15503723,11002598.668180823,7071337.554989608,4250124.030232151,1357659.0878428537,457272.6727745286,1646861163.5667386,623213870.4981089
73551.40954552089,0.107838,0.00018878063331945327,8.7929598,0.0069674,10.05602580882566,9.861315526916554,10.431629674398417,9.281643566483792,9.787132225162003,10.353919392489315,10.744629674733696,11.126984815352971,9.865960385962003,10.360625278672282,10.77162967439842,11.07387400329049,11.295450768370005,8.49953275531538,9.783716057069933,10.129380949780211,10.274919392489315,10.481629674398421,10.945210614862075,11.089074206588213,11.210876771176837,7.781693720642403,8.422194178442547,76445725.63807853,149748956.81283292,26967417.90365277,229676496.62841308,213173479.38337576,58310964.18614862,22725167.91233336,9646419.656873073,184113150.03026792,57418302.903559044,21754947.28280217,10884549.68985305,6995927.37290859,4205286.4291939605,1343716.6524292913,452697.363668672,1620804252.4106696,614758825.8503015
72277.31320877858,0.076746,0.00020601882440564624,8.793696,0.0069615,10.071809205395976,9.87735374275422,10.446773078000362,9.298115292315135,9.80330079543334,10.369317615358607,10.759773078335638,11.142000809321242,9.88212601143334,10.376129687828918,10.786773078000362,11.088865829112432,11.310363520850931,8.515980313000394,9.800033260321275,10.145036936716853,10.290317615358607,10.496773078000363,10.959980623962995,11.103497934134442,11.2249754405147,7.80297695480704,8.44068617986635,75470231.51240171,147803375.59700102,26638995.05882795,226601978.86006334,210378608.9007994,57587306.6265156,22448409.33197715,9530058.956447395,181699775.93447214,56700177.93779444,21490004.539631285,10753493.314646048,6912195.6873909095,4155501.194398476,1328232.3138499926,447614.6901070675,1592036818.220884,605401935.8287677
71089.42475558622,0.047231,0.00022422830811174777,8.7944211,0.0069557,10.086614375593449,9.892396490642327,10.460981403571239,9.313564000764774,9.81846523256677,10.383763518620121,10.773981403906518,11.156090346046796,9.897287548166773,10.390673933522969,10.800981403571239,11.102932019025204,11.324357615543953,8.531405674637249,9.815336932712807,10.159723318069005,10.30476351862012,10.51098140357124,10.973841284197917,11.117037176246185,11.238213710916057,7.82291049176602,8.458017963828311,74572307.88370222,146012898.90443304,26336525.35751486,223773257.78392783,207806809.22553378,56920980.888341516,22193521.200851895,9422881.779927386,179479043.701443,56039040.841172956,21245998.51613209,10632785.758001942,6835060.399297199,4109633.7296441947,1313960.5149949167,442927.85447479115,1565682373.2940917,596808584.6842861
70007.56946465302,0.01988,0.0002435171184862952,8.7951349,0.00695,10.100223690710216,9.906222176817288,10.474046935842544,9.327761250566198,9.832401959470822,10.397045421949613,10.78704693617782,11.169047692789007,9.91122141987082,10.40404480166196,10.81404693584254,11.11586728984782,11.33722885267666,8.54558084851908,9.829401065865543,10.173224447656679,10.318045421949613,10.524046935842541,10.98659082548194,11.129495657662524,11.250400353184297,7.841191005353394,8.473929816575634,73764250.47675946,144401939.00960317,26064196.42599445,221228645.64155865,205493059.97460634,56321172.84428994,21964032.388897654,9326375.126997394,177481166.36913607,55443983.04516704,21026307.4218652,10524101.570764443,6765594.082933953,4068322.538047076,1301100.9623948503,438702.80552506726,1542068027.3939905,589091011.7629423
68912.02310025267,-0.008225,0.0002637777982269256,8.795838,0.0069444,10.116384906876595,9.922711299946519,10.489311225082742,9.345111788298196,9.849072350778362,10.412766364116694,10.802222376002097,11.183876034322845,9.927582553982491,10.41965756642672,10.829311225082746,11.130712630596898,11.351930640358821,8.562948385466315,9.846309894432364,10.188929767842643,10.333657566426721,10.53898483201282,11.000951003014842,11.143758965324869,11.264744626466738,7.861845612165558,8.49268956288788,72791656.02320004,142454944.55458897,25741791.988423824,218072698.5802306,202688521.64077422,55601110.4863069,21694120.688562665,9214710.50013918,175108800.39862466,54740589.309733264,20766219.801754545,10397933.773001632,6685368.874235255,4021346.1500621024,1286192.069351646,433643.513754334,1515450803.8403497,579934105.7649572
