teff,log(L/Lsun),tcool(gyr),logg,Radius,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,2MASS_J_mag,2MASS_H_mag,2MASS_Ks_mag,GALEX_FUV_mag,GALEX_NUV_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,GALEX_FUV,GALEX_NUV
4682.103394980423,-4.99982,3.3070133705977005,9.16302,0.0048033,17.057239449703744,17.574982148169557,16.38063686901863,19.32147799933813,17.86966527850739,17.056914784297014,16.72874764394718,16.61044720029826,17.73591379897357,17.049737688224212,16.737729486844554,16.617837705978573,16.594467196142695,18.424786564944377,18.247466125429426,17.342995395750357,16.780409764068644,16.25177952407808,16.00848363153039,16.487105629049225,16.927691740545505,30.211322950299667,22.94137964266846,254641.870026504,258796.99012683352,236754.6684207323,46584.86548460883,262290.17103595554,255631.35957459206,193162.1261424951,130029.90984214879,275527.8524531385,254957.30047297507,188009.66438315462,138767.27152154734,111763.70364366352,83473.4644974731,19595.538117917888,4922.027564200759,3.6386555001366605,2014.1538956352915
4675.929988945383,-5.002114,3.307453776240314,9.1630203,0.0048033,17.063559967537238,17.582587818784727,16.385894474287717,19.333389992730243,17.8783252562368,17.06339957724932,16.734169515935072,16.615039146441944,17.744236660615186,17.05620637860255,16.743118072958133,16.62252842901882,16.59872093707221,18.436517114317336,18.25676813138648,17.350305828402234,16.786540250432815,16.256864270378188,16.011690471269457,16.49003651197811,16.930546513149203,30.24267995264121,22.95960662544305,253163.80117211567,256990.43105014638,235610.97107911535,46076.56005456254,260206.43056321537,254109.09685634595,192199.93136916854,129481.13061752543,273423.8300815537,253442.81050578493,187078.87073640892,138169.04630786937,111326.6879525089,83227.28030374991,19542.71241302384,4909.1028659530575,3.5350709817859713,1980.6231804211309
4669.732465135193,-5.004415,3.3078923137216245,9.1630205,0.0048033,17.06990516768412,17.59022319103888,16.39117261158449,19.345348524594378,17.887019057057728,17.06990969057955,16.7396125608152,16.619649027921973,17.75259202718608,17.062700326520876,16.748527702259686,16.62723747247981,16.60299129394744,18.448293492431453,18.266106470683667,17.35764480746825,16.792694674546343,16.261968874608275,16.01490986990649,16.492978894703185,16.933412444079046,30.274159731116832,22.977904867314997,251688.59000422317,255189.5017296285,234468.364625988,45571.84752954644,258131.20269276327,252590.00837884456,191238.80018261942,128932.53760363022,271327.75155347463,251931.4561047642,186149.0773581911,137571.07868398845,110889.68401713393,82980.86230949272,19489.822684288363,4896.161787445282,3.434046939410306,1947.5228451380121
4663.4787267996535,-5.006746,3.3083309060968906,9.1630208,0.0048033,17.076307932061347,17.597927831048267,16.396498632509644,19.357415524080896,17.895791723381954,17.07647886769294,16.745104986076512,16.62430072756525,17.76102319050075,17.069253191418156,16.753986408630425,16.63198923433646,16.607300387722802,18.46017668690734,18.275529519794787,17.365050367295893,16.798904934775706,16.267119787260036,16.018158441245884,16.495947917852032,16.936304365451136,30.305924774855278,22.996369032236593,250208.7089705541,253385.02694043354,233321.00904102495,45068.16087365647,256053.92554260464,251066.34283855394,190273.82126702787,128381.32407569171,269228.9457505783,250415.5253040821,185215.53287254815,136970.30972670575,110450.45478345221,82732.95091986189,19436.59917793208,4883.137929066854,3.3350335688009434,1914.6830596330633
4657.211916211328,-5.009083,3.3087676293615433,9.1630211,0.0048033,17.082724080318062,17.60564857607308,16.401835786779436,19.36950774711028,17.904582727124332,17.08306177657677,16.750608892573418,16.628962150857234,17.769471977319544,17.07581975392899,16.759456525815608,16.636750928997856,16.61161848912547,18.47208472077089,18.284972265838356,17.372471406778203,16.805128176597226,16.272281467233352,16.02141380383462,16.498923147368444,16.939202332109026,30.33775621549625,23.014871792770528,248734.46318510783,251589.5798801669,232176.88716749445,44569.005829002504,253989.07525326073,249548.7121365129,189311.70966629154,127831.32226237163,267142.03862912214,248905.57601075742,184284.73335054223,136370.91672184833,110012.0526175089,82485.26423900784,19383.41021499976,4870.121597839,3.2386769726684674,1882.3301156204636
4650.8785630908515,-5.011444,3.3092063313044977,9.1630214,0.0048033,17.08920835666505,17.61345130149751,16.40722961236132,19.38172836814856,17.913467075500243,17.08971458419751,16.756171241029055,16.633673070330488,17.778010474934327,17.08245604155087,16.764984726245146,16.641563184521033,16.615982441409216,18.484119196908175,18.294515276938792,17.379971244081226,16.8114174982296,16.277497955327863,16.024703734152126,16.50192997004855,16.942131070494927,30.369925655283396,23.03357102124731,247253.3885364247,249787.9936909419,231026.31664174047,44070.16720588004,251919.21684096282,248024.28701879058,188344.32465345936,127277.87429262008,265049.40694331215,247388.84374814405,183348.80274762632,135767.82408807255,109570.76327088104,82235.70081842307,19329.804331447354,4857.002304332069,3.144125388592391,1850.1890197280286
4644.532433800207,-5.013817,3.3096431636699046,9.1630216,0.0048033,17.095705703391147,17.621269755703583,16.412634310661907,19.393973643430005,17.922369337230265,17.096380798442183,16.761744801248213,16.638393488855204,17.786566187125636,17.089105702579943,16.770524069845578,16.6463851427144,16.620355194607697,18.496177950867924,18.304077532115045,17.38748619746887,16.817719494732433,16.28272495960831,16.028000331340692,16.50494290779686,16.945065722316702,30.402160263833153,23.052308022795863,245778.17409876676,247995.7156490609,229879.14580284012,43575.92232732355,249862.10407042372,246506.1303330529,187379.94801591476,126725.71376389076,262968.9982262808,245878.32526154025,182415.75328819148,135166.1906805746,109130.35945223489,81986.38903282447,19276.23813024136,4843.8919697970605,3.0521509879058843,1818.533469929191
4638.1522446528725,-5.016208,3.3100781257451115,9.1630219,0.0048033,17.102237931970315,17.629130183113098,16.41806802482003,19.4062846372552,17.931319386179396,17.103082804636045,16.767348284621036,16.64313924647312,17.795167827563944,17.09579106649865,16.77609315278038,16.651232985758675,16.62475141942709,18.50830142331556,18.313691114735498,17.395041496487018,16.824055327052616,16.287980024870308,16.0313145928142,16.507971967217262,16.948016119691935,30.43456760047907,23.0711455348019,244303.9124221541,246206.77932499064,228731.55844937393,43084.61243401817,247810.8818936849,244989.1899349328,186415.3715379489,126173.00395278321,260893.8824887738,244368.9939114069,181482.4810096635,134564.01515945897,108689.37608306116,81736.50326382052,19222.53494014141,4830.746966602803,2.96239577344728,1787.2540662077738
4631.716829989626,-5.018618,3.3105150667587835,9.1630222,0.0048033,17.108826702000684,17.63705864835822,16.423548772163524,19.41870219214522,17.940346904436907,17.109842821802502,16.77300027070062,16.64792608239778,17.8038439214748,17.102534297280933,16.78171044072683,16.656122790717944,16.629185697240295,18.520529833720524,18.323387910117987,17.402662191993098,16.83044600092345,16.293280577003237,16.034657543124702,16.51102724666728,16.9509920554364,30.46725545138562,23.090146100962194,242825.84799797897,244415.43081922462,227579.84122288637,42594.66124600342,245758.96306776864,243468.57553601827,185447.47579994187,125617.9519817093,258817.39290588835,242855.9837107361,180545.9673821746,133959.34496750828,108246.38078078617,81485.22597519851,19168.518449501375,4817.524317636444,2.874537237993543,1756.2489085303275
4625.258394170852,-5.021041,3.3109482118085456,9.1630225,0.0048033,17.115439041852795,17.64501547566695,16.42904912584849,19.43116416764,17.949406716262917,17.116627021407673,16.778672475738645,16.652730042220632,17.81255105174482,17.109301650392695,16.787347823571714,16.6610300879139,16.633635837900844,18.53280198816251,18.33311939326915,17.41031014838884,16.836859536072907,16.298600090885273,16.03801245291152,16.514093456053466,16.953978637180136,30.500060234508027,23.109214637098155,241351.4865576838,242630.7775993928,226429.83423239397,42108.55888498095,243716.78540794476,241952.01036208376,184481.1700127584,125063.36928208829,256750.09093782486,241346.97912727308,179610.96220960157,133355.2433952267,107803.61598896846,81233.82636981542,19114.461325226337,4804.290753632655,2.7889840193878115,1725.6735910042173
