teff,log(L/Lsun),tcool(gyr),logg,Radius,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,2MASS_J_mag,2MASS_H_mag,2MASS_Ks_mag,GALEX_FUV_mag,GALEX_NUV_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,GALEX_FUV,GALEX_NUV
79451.29860500088,0.254196,0.0003346486783497653,8.7800099,0.0070669,10.172893941238843,9.985016854697037,10.538457853981036,9.444542082697772,9.90823346139684,10.466784200959843,10.848241247616507,11.223228074102039,9.97612372111784,10.472567594260035,10.874444680801844,11.170444680801843,11.388238373423036,8.661445516492037,9.916343201675843,10.231664161359841,10.385567594260039,10.58234811370204,11.017099052505866,11.157235499564841,11.271115459964843,7.873741801198033,8.56308048566584,66725148.818700485,129887354.45398574,23757005.05419127,192150157.66825593,185343037.36137834,51084352.83615944,20079184.40708042,8581287.345476475,161697412.7701451,50345078.50623368,19236038.131100893,9679786.799833551,6243294.866876593,3825813.569869835,1226667.2733782148,416290.10345840687,1447421208.37775,524848362.03603894
78176.8198828897,0.225071,0.0003488722550820569,8.7810442,0.0070585,10.189365216769277,10.001775132127252,10.554192411233563,9.462793491239163,9.92521866561612,10.483000580745854,10.863748878079969,11.238703598410142,9.992854029592698,10.488557047256984,10.890147131899008,11.186147131899007,11.403463139186721,8.679474135444364,9.933583301639546,10.247876403945854,10.401557047256988,10.597827775210144,11.032665796026246,11.172177400628742,11.286053223828747,7.895330686172274,8.582857131473764,65877042.63999712,128202535.33393621,23470963.65034029,189397060.96928787,182900649.5604207,50446890.00614849,19841571.65714705,8479988.993444873,159604084.48402014,49727233.07687723,19004992.498794425,9563522.086355813,6171020.572478062,3780333.8884832705,1212782.9199295184,411579.7836765117,1422304000.344519,516602188.3442354
76928.09890231492,0.196085,0.0003638512265932832,8.7820571,0.0070503,10.205495116981293,10.01818827819337,10.569602528915226,9.480667549223984,9.941852105820367,10.498880736761755,10.878938701623504,11.253859920295689,10.00923772560083,10.504216909134762,10.905523747922679,11.201523747922682,11.418373768476151,8.697131950891059,9.950466486039904,10.263752508361755,10.417216909134762,10.612988148695688,11.047899213359969,11.18680883566407,11.30068060726407,7.916476817164579,8.602225603035272,65056662.28024332,126572978.24759986,23194046.176054794,186738237.68074423,180539200.72437987,49830125.26240042,19611453.567896824,8381898.616011239,157579662.72572017,49129234.10572342,18781345.404074196,9450980.398689091,6101019.122214795,3736340.4033897403,1199333.9888387928,407017.164904577,1398117342.463688,508649353.1866011
75705.0760390563,0.167255,0.00037937021550624194,8.7830459,0.0070423,10.221284179251285,10.034256707745648,10.584688584976895,9.498164888302536,9.958134332435662,10.514425194459093,10.893810960622162,11.268697416584708,10.025275347643472,10.519547569769085,10.92057504127472,11.21657504127472,11.43297061539252,8.714419448106593,9.966993317227853,10.279293010859096,10.432547569769085,10.627829600184704,11.062800424363836,11.201130270498155,11.314998086898154,7.937180867997235,8.621186614349739,64263193.51854007,124997054.11273487,22925997.755185448,184170671.16567576,178256253.83546266,49233458.685952835,19388625.894329645,8286927.808238183,155622098.86343738,48550519.3630377,18564887.976638634,9342056.630991401,6033228.833847905,3693789.1591795594,1186308.707820449,402598.2507039262,1374827317.859929,500979831.7634601
74506.64366925208,0.13858,0.0003957527014753168,8.7840028,0.0070345,10.237171263210698,10.050405945676847,10.59987524941225,9.51564069911084,9.974419366074162,10.529888669809562,10.908861829350212,11.283555316077265,10.041405945676846,10.5349739206784,10.935653987343414,11.231555316077266,11.447776578146101,8.731861962073747,9.983518037340314,10.294851329875716,10.447875249412252,10.642776578146101,11.077592656011117,11.215579235613799,11.32910222093846,7.95816867993214,8.640294058934106,63470226.20353413,123424864.3584724,22657717.400249843,181632149.4362925,175992166.59766766,48644924.33022431,19164136.671698146,8192434.383950304,153667351.1139909,47971789.095846884,18349461.79263024,9234490.985037748,5964719.001108749,3651890.825340071,1173223.3776859215,398283.9502443787,1351498612.5184846,493332629.0734798
73334.27452674053,0.110098,0.000412783313625539,8.7849329,0.007027,10.253270380571633,10.06674325726628,10.615270945287675,9.533176069542579,9.99078980816339,10.545317496184781,10.924224394725842,11.29851147439548,10.057743257266283,10.550604090382327,10.950844619490132,11.246511474395481,11.462937800193023,8.749602396234193,10.00012295325804,10.310510909679435,10.463270945287674,10.657937800193023,11.092318060900828,11.23027151000372,11.342985401613545,7.979653254548625,8.659701499593863,62669605.381504185,121841235.68050073,22386409.21588187,179103938.09414107,173728760.79806295,48060973.396502174,18935239.131089598,8097613.969761499,151695689.84981197,47387130.23971396,18133166.04995661,9127609.65782934,5894569.068882719,3610390.5566689754,1159926.202783328,394063.39486759435,1327847912.6169434,485627671.5474962
72187.99839397057,0.081815,0.0004306778266230538,8.7858477,0.0070196,10.269032905923606,10.082738697044814,10.63034570495999,9.550344559188748,10.006819340076792,10.560426347991967,10.939265062263285,11.313158156549555,10.073738697044814,10.565908105281196,10.96572055687076,11.261158156549556,11.477783304638784,8.766969708172049,10.016381740398,10.325845357513174,10.478345704959988,10.67278330463878,11.10673914702835,11.244658503996373,11.356588084039462,8.000681331711341,8.678700371852468,61896647.40738458,120312650.76517361,22124308.766987022,176665975.47080845,171543823.43119115,47496783.30286876,18714132.65340716,8005962.892183595,149792559.58418882,46822433.24803497,17924144.64876627,9024300.798704363,5826785.563618139,3570268.897789066,1147072.156830694,389978.08109665534,1305125517.0094063,478210439.7104
71067.33011410163,0.053736,0.0004494364763860972,8.7867469,0.0070123,10.284464526165651,10.098398047742828,10.645104924234113,9.567152352276283,10.022513658484455,10.575220534975736,10.953989313827764,11.327500479421376,10.089398047742831,10.580891458211292,10.980287013398554,11.275500479421376,11.492318390256928,8.783970264005907,10.032300192461635,10.340860081352917,10.493104924234112,10.687318390256928,11.120860933044197,11.258745322302572,11.369914641760351,8.021260832440783,8.69729763738779,61150249.49224083,118836898.89110208,21871057.288320098,174314515.64952442,169434214.35076085,46951587.22874302,18500512.441705916,7917360.110249028,147955207.90818098,46276914.31192745,17722117.53176886,8924427.970595147,5761276.998401589,3531473.626290598,1134644.3786275757,386023.13187132194,1283288302.370762,471068323.6488298
69971.47033661106,0.025855,0.00046916733452428614,8.7876298,0.0070052,10.299570834853773,10.11373276591913,10.659548011123062,9.583615622568706,10.03788242626671,10.589709083335995,10.968397492258338,11.34154715227064,10.10472705998645,10.595559422988421,10.994548011123063,11.289547152270641,11.506542305190385,8.800615623462773,10.047893838132063,10.355558564135995,10.507558564135996,10.70155285820332,11.134706506778732,11.272530893325031,11.3829904273807,8.041418150703398,8.715511610576618,60427636.40716992,117407900.07632154,21625812.88516508,172039488.62573782,167391539.53656077,46423166.13251507,18293650.77677878,7831440.038844495,146176833.28660637,45748525.88035498,17526335.094782222,8827579.08690151,5697824.757449771,3493796.740274963,1122601.0265461172,382175.56231121067,1262237869.8762527,464171220.6198359
68900.28209157719,-0.001813,0.000489870693696787,8.7884979,0.0069982,10.31535255415592,10.129946432919288,10.674472779829179,9.60107823245127,10.054066555055234,10.605032789128495,10.983318788564459,11.356438910365126,10.120726489337605,10.610912666992549,11.00947277982918,11.304438910365127,11.521252836247497,8.818078233345341,10.064506442218603,10.370878797528496,10.522878797528497,10.716658853946813,11.149931180736337,11.286812949084128,11.397579333191283,8.062763104079716,8.734717659862872,59674844.75010223,115899144.90934187,21373267.026905872,169633443.09624022,165244963.04806843,45864182.03865405,18080075.67193898,7740219.950624403,144326857.52129403,45196435.552424595,17321662.865250073,8724756.037873156,5632396.9371285485,3452042.579007044,1110148.281186327,377829.3829948506,1240142532.7497942,456945251.33384126
