snr,teff,distance,measured_e_rv
5.0,12000,200,39.33504207931039
17.291666666666664,12000,200,11.056742999585923
29.583333333333332,12000,200,6.397281273028742
41.875,12000,200,4.92744078182593
54.166666666666664,12000,200,3.643096525767713
66.45833333333333,12000,200,2.886314081902218
78.75,12000,200,2.4028147352045797
91.04166666666666,12000,200,2.110668688404853
103.33333333333333,12000,200,1.906549665087894
115.625,12000,200,1.9045311893845083
127.91666666666666,12000,200,1.6905942404124459
140.20833333333331,12000,200,1.3574553654863006
152.5,12000,200,1.813372381766339
164.79166666666666,12000,200,1.373457270017131
177.08333333333331,12000,200,1.3947327680299475
189.375,12000,200,1.2514843593880813
201.66666666666666,12000,200,1.1562847144927624
213.95833333333331,12000,200,0.968931755530608
226.25,12000,200,1.013128093314183
238.54166666666666,12000,200,1.0836567796490737
250.83333333333331,12000,200,0.9077385775034795
263.125,12000,200,1.0330798490334576
275.41666666666663,12000,200,0.8498822551298973
287.7083333333333,12000,200,0.813073553058352
300.0,12000,200,0.9475572904001963
