snr,teff,distance,measured_e_rv
5.0,12000,200,32.8447572757821
17.291666666666664,12000,200,9.10838729102175
29.583333333333332,12000,200,5.071941779984411
41.875,12000,200,3.794470335513655
54.166666666666664,12000,200,2.820060247401901
66.45833333333333,12000,200,2.2645365192610387
78.75,12000,200,2.0255102632342337
91.04166666666666,12000,200,1.6961126586241049
103.33333333333333,12000,200,1.6396145470294758
115.625,12000,200,1.3074639669198398
127.91666666666666,12000,200,1.4545731047751076
140.20833333333331,12000,200,1.0608654842322878
152.5,12000,200,1.1388278558228146
164.79166666666666,12000,200,0.9630911801911949
177.08333333333331,12000,200,0.9368430559202052
189.375,12000,200,1.019373360442924
201.66666666666666,12000,200,0.9221975457309546
213.95833333333331,12000,200,0.9903480735356299
226.25,12000,200,0.6780501333828339
238.54166666666666,12000,200,0.7465668399756327
250.83333333333331,12000,200,0.6848065141961597
263.125,12000,200,0.6201564430183895
275.41666666666663,12000,200,0.6810861190433841
287.7083333333333,12000,200,0.6809751950270384
300.0,12000,200,0.6051239385781798
