snr,teff,distance,measured_e_rv
5.0,12000,200,36.02394295665195
17.291666666666664,12000,200,11.062242568976833
29.583333333333332,12000,200,6.289842270899998
41.875,12000,200,4.84116382583344
54.166666666666664,12000,200,3.6326777487484168
66.45833333333333,12000,200,2.9059086978536666
78.75,12000,200,2.555356595602551
91.04166666666666,12000,200,2.2292365546777826
103.33333333333333,12000,200,53.778358139019346
115.625,12000,200,1.6266574413752934
127.91666666666666,12000,200,1.8391391428790098
140.20833333333331,12000,200,1.915922435701416
152.5,12000,200,1.7919460375769805
164.79166666666666,12000,200,1.4023568132198136
177.08333333333331,12000,200,1.334409219850599
189.375,12000,200,1.1212620545897476
201.66666666666666,12000,200,1.4289868923182782
213.95833333333331,12000,200,1.2441976013823666
226.25,12000,200,1.2408579708355818
238.54166666666666,12000,200,1.256854609513797
250.83333333333331,12000,200,1.295472675733843
263.125,12000,200,1.2011587044720469
275.41666666666663,12000,200,0.8609363431039818
287.7083333333333,12000,200,1.037200432146118
300.0,12000,200,1.1601922571272258
