wd_source_id,radius_med,radius_unc_low,radius_unc_high,e_radius,pct_error
321259125631010688,0.009075060975702563,0.0017186386477366184,0.001643559771655402,0.0016810992096960103,18.524384730823968
2153552814748001792,0.007251166364272282,0.0006736594921419653,0.0007445819682089291,0.0007091207301754472,9.77940229959975
3090038517737811712,0.007258528589408049,0.0003330685492052114,0.0003444183037559353,0.00033874342648057337,4.666833261149954
3121385658671190784,0.004854751503934842,8.321490220911977e-05,7.68546893381624e-05,8.003479577364109e-05,1.6485868681182096
3249027001465705088,0.007492023805893487,0.0003102578531117379,0.00028520709742617823,0.0002977324752689581,3.973992648485064
4248619071266347648,0.007513733012347328,0.000252991437938878,0.00031150788813236706,0.00028224966303562254,3.7564505229531218
4750614226039509888,0.0074094491733084095,0.00023417245167950927,0.00021175614459279825,0.00022296429813615376,3.0091885769235596
4762592584885748608,0.006335354137755791,0.000984467048098547,0.0012617100815454372,0.001123088564821992,17.72732100529159
5309155039065680512,0.007219350699181866,0.001138433365359755,0.0011695477837426593,0.001153990574551207,15.98468647162387
5924037812888396544,0.006537698298651459,0.0017823116795318361,0.0013875661534177765,0.0015849389164748063,24.243072165042154
