wd_source_id,radius_med,radius_unc_low,radius_unc_high,e_radius,pct_error
321259125631010688,0.008628665068979871,0.0017645151227279566,0.002165723427152237,0.0019651192749400967,22.77431397823886
2153552814748001792,0.006694461758338805,0.000815602487828861,0.0008674142153610271,0.0008415083515949441,12.570216724992688
3090038517737811712,0.007666564686978027,0.00038156041390796733,0.0003539586735457137,0.0003677595437268405,4.796927421110723
3121385658671190784,0.004698223247747825,5.248346102871681e-05,5.368994494544827e-05,5.308670298708254e-05,1.1299314695726852
3249027001465705088,0.007418459822226304,0.0002003777060200409,0.00019238008240070846,0.00019637889421037467,2.6471653000263973
4248619071266347648,0.0070389059401701655,0.00032215759173280685,0.0003381768700614924,0.0003301672308971496,4.690604388004762
4750614226039509888,0.006998099890145838,0.00012880645644307732,9.774620795047814e-05,0.00011327633219677773,1.6186726965170126
4762592584885748608,0.006461720691338976,0.0007385901796297953,0.0007915323235887332,0.0007650612516092643,11.839899744269678
5309155039065680512,0.007174590504135092,0.0006871855954448123,0.0007704941534923413,0.0007288398744685768,10.158626810108649
5924037812888396544,0.006495924519439053,0.000855985628479914,0.0008265335986385484,0.0008412596135592312,12.950575565368133
