wd_source_id,radius_med,radius_unc_low,radius_unc_high,e_radius,pct_error
321259125631010688,0.009685180219803892,0.0024940084069777673,0.0032805588086357567,0.002887283607806762,29.811356549700058
2153552814748001792,0.007103538823513106,0.0010354603617804999,0.0011340822014161752,0.0010847712815983375,15.270857364890928
3090038517737811712,0.008034651387032292,0.00025465158911394583,0.0004801906758577553,0.00036742113248585057,4.572956744319464
3121385658671190784,0.004743764646783166,5.8422209765884164e-05,5.6158999084621186e-05,5.7290604425252675e-05,1.2077033472582261
3249027001465705088,0.007429467307631889,0.00019042515377997414,0.00018258288194032083,0.00018650401786014749,2.510328266315433
4248619071266347648,0.007307539833934025,0.0003654228157363897,0.00037605507737844494,0.0003707389465574173,5.073375650117113
4750614226039509888,0.007043035184652744,0.00015846221386504097,0.00015940256676064135,0.00015893239031284116,2.2565894695395774
4762592584885748608,0.006565252379076823,0.0007511019222917964,0.000886787135830039,0.0008189445290609177,12.473923038676453
5309155039065680512,0.007145879319709282,0.0007579838272761636,0.0007895225313430104,0.000773753179309587,10.827963147592952
5924037812888396544,0.006502881987985711,0.0009484192715103739,0.0008949134902647626,0.0009216663808875683,14.173198630859016
