wavelength,flux
4019.76,6.87131e-17
4020.68,9.26798e-17
4021.61,8.57423e-17
4022.54,9.38023e-17
4023.46,6.43351e-17
4024.39,6.21191e-17
4025.32,7.20827e-17
4026.24,6.67552e-17
4027.17,6.80981e-17
4028.10,7.39084e-17
4029.03,7.03826e-17
4029.95,7.64714e-17
4030.88,9.66270e-17
4031.81,7.47698e-17
4032.74,5.29621e-17
4033.67,6.92983e-17
4034.59,7.61452e-17
4035.53,8.24753e-17
4036.45,9.93269e-17
4037.38,8.16679e-17
4038.31,8.61583e-17
4039.24,5.18330e-17
4040.17,6.65874e-17
4041.10,6.82987e-17
4042.03,8.60744e-17
4042.96,7.99033e-17
4043.90,8.81751e-17
4044.83,8.90840e-17
4045.76,7.19570e-17
4046.69,8.49797e-17
4047.62,6.75184e-17
4048.55,1.00449e-16
4049.49,5.00839e-17
4050.42,8.32566e-17
4051.35,6.49614e-17
4052.29,5.31131e-17
4053.22,6.47826e-17
4054.15,7.39206e-17
4055.09,6.97850e-17
4056.02,6.75779e-17
4056.95,8.82070e-17
4057.89,6.84751e-17
4058.82,8.96232e-17
4059.76,5.10588e-17
4060.69,8.42845e-17
4061.63,7.68283e-17
4062.56,7.38030e-17
4063.50,7.08241e-17
4064.43,4.82837e-17
4065.37,5.93883e-17
4066.31,7.78003e-17
4067.24,4.26758e-17
4068.18,7.35251e-17
4069.11,7.50572e-17
4070.05,7.66420e-17
4070.99,6.86555e-17
4071.93,6.81146e-17
4072.86,5.89114e-17
4073.80,6.09785e-17
4074.74,7.64144e-17
4075.68,5.35505e-17
4076.62,6.09219e-17
4077.56,6.41151e-17
4078.50,4.70902e-17
4079.43,6.49403e-17
4080.37,6.06837e-17
4081.31,5.57281e-17
4082.25,5.09618e-17
4083.19,5.13962e-17
4084.13,5.44097e-17
4085.08,4.25281e-17
4086.02,4.54238e-17
4086.96,5.10065e-17
4087.90,2.81963e-17
4088.84,6.10237e-17
4089.78,5.76751e-17
4090.72,3.27671e-17
4091.67,3.56939e-17
4092.61,5.76731e-17
4093.55,6.59448e-17
4094.49,6.13199e-17
4095.43,5.69496e-17
4096.38,4.08704e-17
4097.32,4.87579e-17
4098.27,3.07003e-17
4099.21,6.51722e-17
4100.15,5.03136e-17
4101.10,4.35085e-17
4102.04,3.66595e-17
4102.99,3.55045e-17
4103.93,5.03019e-17
4104.88,3.54470e-17
4105.82,3.01747e-17
4106.77,4.18855e-17
4107.71,3.40267e-17
4108.66,4.34302e-17
4109.60,4.40684e-17
4110.55,4.47124e-17
4111.50,4.17836e-17
4112.44,4.39469e-17
4113.39,6.30222e-17
4114.34,6.98237e-17
4115.28,4.37406e-17
4116.23,4.92462e-17
4117.18,3.49786e-17
4118.13,6.72302e-17
4119.08,5.26488e-17
4120.03,5.71351e-17
4120.98,6.05712e-17
4121.92,4.37382e-17
4122.87,4.35720e-17
4123.82,4.98643e-17
4124.77,3.62254e-17
4125.72,5.31225e-17
4126.67,2.77724e-17
4127.62,4.87581e-17
4128.57,4.85418e-17
4129.52,6.56909e-17
4130.47,6.95034e-17
4131.43,7.30822e-17
4132.38,5.35521e-17
4133.33,4.86288e-17
4134.28,8.78825e-17
4135.23,7.79894e-17
4136.19,6.41120e-17
4137.14,8.17950e-17
4138.09,7.74945e-17
4139.04,9.73212e-17
4140.00,6.88785e-17
4140.95,5.16756e-17
4141.90,6.49405e-17
4142.86,7.24513e-17
4143.81,6.76321e-17
4144.77,7.48351e-17
4145.72,7.28948e-17
4146.68,3.12319e-17
4147.63,6.08597e-17
4148.58,5.67789e-17
4149.54,6.12537e-17
4150.49,7.55843e-17
4151.45,7.68796e-17
4152.41,7.17449e-17
4153.36,7.52314e-17
4154.32,7.17373e-17
4155.28,4.90166e-17
4156.23,5.24962e-17
4157.19,8.30252e-17
4158.15,5.49068e-17
4159.11,6.47799e-17
4160.06,6.65234e-17
4161.02,5.67394e-17
4161.98,6.06686e-17
4162.94,1.15847e-16
4163.90,1.15175e-16
4164.86,4.84375e-17
4165.81,7.87427e-17
4166.78,7.01972e-17
4167.73,6.79186e-17
4168.69,7.46211e-17
4169.65,8.11250e-17
4170.61,8.33251e-17
4171.57,7.77185e-17
4172.53,7.90016e-17
4173.50,6.74547e-17
4174.46,6.15950e-17
4175.42,6.99953e-17
4176.38,5.72937e-17
4177.34,8.29195e-17
4178.30,1.00897e-16
4179.27,6.29943e-17
4180.23,8.14712e-17
4181.19,8.65366e-17
4182.15,8.39357e-17
4183.12,7.10122e-17
4184.08,6.10350e-17
4185.04,7.64901e-17
4186.01,9.00525e-17
4186.97,7.53408e-17
4187.94,9.05449e-17
4188.90,9.54442e-17
4189.86,8.32396e-17
4190.83,7.90241e-17
4191.80,6.47340e-17
4192.76,6.03936e-17
4193.73,5.71049e-17
4194.69,6.32929e-17
4195.66,6.14060e-17
4196.62,5.73301e-17
4197.59,7.68995e-17
4198.56,5.75399e-17
4199.52,7.85718e-17
4200.49,5.27011e-17
4201.46,8.08206e-17
4202.43,7.65138e-17
4203.39,6.53974e-17
4204.36,6.52196e-17
4205.33,8.51002e-17
4206.30,8.86269e-17
4207.27,5.48847e-17
4208.23,4.70230e-17
4209.20,6.51587e-17
4210.17,6.15922e-17
4211.14,7.30863e-17
4212.11,8.90927e-17
4213.08,6.50288e-17
4214.05,6.16073e-17
4215.02,5.56416e-17
4215.99,4.50210e-17
4216.97,6.09381e-17
4217.94,7.69210e-17
4218.91,5.28184e-17
4219.88,5.77068e-17
4220.85,9.31810e-17
4221.82,6.07249e-17
4222.80,4.04638e-17
4223.77,6.44854e-17
4224.74,4.36622e-17
4225.71,6.50402e-17
4226.69,6.63794e-17
4227.66,5.64225e-17
4228.63,6.63380e-17
4229.61,5.23631e-17
4230.58,5.85535e-17
4231.55,7.43407e-17
4232.53,8.44829e-17
4233.50,7.41301e-17
4234.48,5.92594e-17
4235.45,6.14328e-17
4236.43,6.91539e-17
4237.41,6.46343e-17
4238.38,6.17883e-17
4239.36,6.92741e-17
4240.33,8.25811e-17
4241.31,8.91405e-17
4242.29,6.36439e-17
4243.26,6.44084e-17
4244.24,7.35926e-17
4245.22,6.41177e-17
4246.20,7.82754e-17
4247.17,5.66105e-17
4248.15,7.29130e-17
4249.13,7.38065e-17
4250.11,5.11205e-17
4251.09,4.69320e-17
4252.06,4.22028e-17
4253.05,5.13765e-17
4254.02,4.56186e-17
4255.01,6.49941e-17
4255.98,9.24866e-17
4256.97,7.05975e-17
4257.94,5.13694e-17
4258.93,5.86114e-17
4259.91,6.51707e-17
4260.89,6.64963e-17
4261.87,5.94521e-17
4262.85,5.54567e-17
4263.83,7.20319e-17
4264.81,5.70583e-17
4265.80,6.43948e-17
4266.78,5.65085e-17
4267.76,6.94761e-17
4268.74,6.60166e-17
4269.73,5.08744e-17
4270.71,4.01336e-17
4271.69,5.47312e-17
4272.68,5.75518e-17
4273.66,4.57475e-17
4274.64,6.19899e-17
4275.63,6.00416e-17
4276.61,5.60381e-17
4277.60,8.07769e-17
4278.58,3.62611e-17
4279.57,5.90079e-17
4280.55,4.17789e-17
4281.54,6.91115e-17
4282.53,7.20617e-17
4283.51,6.76572e-17
4284.50,6.21084e-17
4285.48,4.63671e-17
4286.47,6.20360e-17
4287.46,5.52877e-17
